panel,kind,depth,L,p,scaled_x,I3,standard_error
b,scan,7,16,0.5100000000000001,,-14.875,0.5702182121993382
e,collapse,7,16,0.5100000000000001,-2.468672618503106,-14.875,0.5702182121993382
b,scan,7,16,0.5450000000000002,,-12.083333333333334,0.7911966023006314
e,collapse,7,16,0.5450000000000002,-2.0198230515025406,-12.083333333333334,0.7911966023006314
b,scan,7,16,0.5800000000000001,,-8.75,0.6228136361680155
e,collapse,7,16,0.5800000000000001,-1.570973484501977,-8.75,0.6228136361680155
b,scan,7,16,0.6150000000000001,,-5.333333333333334,0.6330826571575394
e,collapse,7,16,0.6150000000000001,-1.122123917501412,-5.333333333333334,0.6330826571575394
b,scan,7,16,0.6500000000000001,,-3.5,0.6236095644623235
e,collapse,7,16,0.6500000000000001,-0.6732743505008469,-3.5,0.6236095644623235
b,scan,7,16,0.6850000000000002,,-1.4166666666666665,0.3605000935649219
e,collapse,7,16,0.6850000000000002,-0.22442478350028183,-1.4166666666666665,0.3605000935649219
b,scan,7,16,0.7200000000000002,,-0.20833333333333331,0.35355339059327373
e,collapse,7,16,0.7200000000000002,0.22442478350028325,-0.20833333333333331,0.35355339059327373
b,scan,7,16,0.7550000000000001,,0.0,0.35355339059327373
e,collapse,7,16,0.7550000000000001,0.6732743505008469,0.0,0.35355339059327373
b,scan,7,16,0.7900000000000001,,0.0,0.35355339059327373
e,collapse,7,16,0.7900000000000001,1.122123917501412,0.0,0.35355339059327373
b,scan,7,24,0.5100000000000001,,-23.208333333333336,0.9447799357438358
e,collapse,7,24,0.5100000000000001,-3.5851134594704455,-23.208333333333336,0.9447799357438358
b,scan,7,24,0.5450000000000002,,-17.75,0.6354288640515485
e,collapse,7,24,0.5450000000000002,-2.933274648657637,-17.75,0.6354288640515485
b,scan,7,24,0.5800000000000001,,-13.416666666666666,0.4531634835874828
e,collapse,7,24,0.5800000000000001,-2.28143583784483,-13.416666666666666,0.4531634835874828
b,scan,7,24,0.6150000000000001,,-9.0,0.9407022031018291
e,collapse,7,24,0.6150000000000001,-1.629597027032021,-9.0,0.9407022031018291
b,scan,7,24,0.6500000000000001,,-5.208333333333333,0.7097325116515644
e,collapse,7,24,0.6500000000000001,-0.9777582162192122,-5.208333333333333,0.7097325116515644
b,scan,7,24,0.6850000000000002,,-1.375,0.47324236215002274
e,collapse,7,24,0.6850000000000002,-0.3259194054064034,-1.375,0.47324236215002274
b,scan,7,24,0.7200000000000002,,-0.041666666666666664,0.35355339059327373
e,collapse,7,24,0.7200000000000002,0.32591940540640546,-0.041666666666666664,0.35355339059327373
b,scan,7,24,0.7550000000000001,,0.0,0.35355339059327373
e,collapse,7,24,0.7550000000000001,0.9777582162192122,0.0,0.35355339059327373
b,scan,7,24,0.7900000000000001,,0.0,0.35355339059327373
e,collapse,7,24,0.7900000000000001,1.629597027032021,0.0,0.35355339059327373
c,scan,31,8,0.7100000000000001,,-6.875,0.35355339059327373
f,collapse,31,8,0.7100000000000001,-1.5874229451048785,-6.875,0.35355339059327373
c,scan,31,8,0.7450000000000001,,-4.833333333333333,0.35355339059327373
f,collapse,31,8,0.7450000000000001,-1.292088443690017,-4.833333333333333,0.35355339059327373
c,scan,31,8,0.78,,-3.583333333333333,0.36050009356492196
f,collapse,31,8,0.78,-0.9967539422751566,-3.583333333333333,0.36050009356492196
c,scan,31,8,0.8150000000000001,,-2.6666666666666665,0.35355339059327373
f,collapse,31,8,0.8150000000000001,-0.7014194408602952,-2.6666666666666665,0.35355339059327373
c,scan,31,8,0.8500000000000001,,-0.7916666666666667,0.35355339059327373
f,collapse,31,8,0.8500000000000001,-0.40608493944543383,-0.7916666666666667,0.35355339059327373
c,scan,31,8,0.8850000000000001,,-0.16666666666666666,0.35355339059327373
f,collapse,31,8,0.8850000000000001,-0.11075043803057244,-0.16666666666666666,0.35355339059327373
c,scan,31,8,0.9200000000000002,,-0.125,0.35355339059327373
f,collapse,31,8,0.9200000000000002,0.18458406338428895,-0.125,0.35355339059327373
c,scan,31,8,0.9550000000000001,,0.0,0.35355339059327373
f,collapse,31,8,0.9550000000000001,0.4799185647991494,0.0,0.35355339059327373
c,scan,31,8,0.9900000000000001,,0.0,0.35355339059327373
f,collapse,31,8,0.9900000000000001,0.7752530662140108,0.0,0.35355339059327373
c,scan,31,12,0.7100000000000001,,-11.75,0.35355339059327373
f,collapse,31,12,0.7100000000000001,-2.4060191130494775,-11.75,0.35355339059327373
c,scan,31,12,0.7450000000000001,,-8.708333333333334,0.35355339059327373
f,collapse,31,12,0.7450000000000001,-1.958387650156551,-8.708333333333334,0.35355339059327373
c,scan,31,12,0.78,,-6.75,0.35355339059327373
f,collapse,31,12,0.78,-1.5107561872636257,-6.75,0.35355339059327373
c,scan,31,12,0.8150000000000001,,-4.875,0.35355339059327373
f,collapse,31,12,0.8150000000000001,-1.0631247243706994,-4.875,0.35355339059327373
c,scan,31,12,0.8500000000000001,,-1.7916666666666665,0.36697768194757985
f,collapse,31,12,0.8500000000000001,-0.615493261477773,-1.7916666666666665,0.36697768194757985
c,scan,31,12,0.8850000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.8850000000000001,-0.1678617985848465,0.0,0.35355339059327373
c,scan,31,12,0.9200000000000002,,-0.041666666666666664,0.35355339059327373
f,collapse,31,12,0.9200000000000002,0.2797696643080799,-0.041666666666666664,0.35355339059327373
c,scan,31,12,0.9550000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.9550000000000001,0.7274011272010049,0.0,0.35355339059327373
c,scan,31,12,0.9900000000000001,,0.0,0.35355339059327373
f,collapse,31,12,0.9900000000000001,1.1750325900939314,0.0,0.35355339059327373
c,scan,31,16,0.7100000000000001,,-15.75,0.35355339059327373
