panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
b,size_scaling,7,24,0.5800000000000001,,20.333333333333332,0.15404040404040403,,0.7190533857398584
e,probability_scan_and_collapse,7,24,0.5800000000000001,-2.672134437356496,20.333333333333332,0.15404040404040403,15.437499999999993,0.7190533857398584
b,size_scaling,7,24,0.6150000000000001,,15.083333333333332,0.11426767676767675,,0.9237679878375723
e,probability_scan_and_collapse,7,24,0.6150000000000001,-1.8947862373982423,15.083333333333332,0.11426767676767675,10.187499999999993,0.9237679878375723
b,size_scaling,7,24,0.6500000000000001,,11.166666666666668,0.0845959595959596,,0.848185548052374
e,probability_scan_and_collapse,7,24,0.6500000000000001,-1.1174380374399884,11.166666666666668,0.0845959595959596,6.2708333333333295,0.848185548052374
b,size_scaling,7,24,0.6850000000000002,,6.208333333333332,0.04703282828282827,,0.761762311461391
e,probability_scan_and_collapse,7,24,0.6850000000000002,-0.34008983748173466,6.208333333333332,0.04703282828282827,1.3124999999999938,0.761762311461391
b,size_scaling,7,24,0.7200000000000002,,3.208333333333333,0.024305555555555552,,0.6002430672635228
e,probability_scan_and_collapse,7,24,0.7200000000000002,0.4372583624765191,3.208333333333333,0.024305555555555552,-1.6875000000000053,0.6002430672635228
b,size_scaling,7,24,0.7550000000000001,,1.7083333333333335,0.012941919191919194,,0.6002430672635228
e,probability_scan_and_collapse,7,24,0.7550000000000001,1.2146065624347704,1.7083333333333335,0.012941919191919194,-3.187500000000005,0.6002430672635228
b,size_scaling,7,24,0.7900000000000001,,0.7083333333333333,0.005366161616161616,,0.6002430672635228
e,probability_scan_and_collapse,7,24,0.7900000000000001,1.9919547623930243,0.7083333333333333,0.005366161616161616,-4.187500000000005,0.6002430672635228
c,size_scaling,31,8,0.7100000000000001,,9.208333333333334,0.20928030303030304,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.7100000000000001,-1.4916499775935124,9.208333333333334,0.20928030303030304,8.4609375,0.49999999999999994
c,size_scaling,31,8,0.7450000000000001,,7.458333333333333,0.16950757575757575,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.7450000000000001,-1.2350220244591446,7.458333333333333,0.16950757575757575,6.710937499999999,0.49999999999999994
c,size_scaling,31,8,0.78,,6.208333333333334,0.14109848484848486,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.78,-0.9783940713247774,6.208333333333334,0.14109848484848486,5.4609375,0.49999999999999994
c,size_scaling,31,8,0.8150000000000001,,4.958333333333334,0.11268939393939395,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.8150000000000001,-0.7217661181904096,4.958333333333334,0.11268939393939395,4.2109375,0.49999999999999994
c,size_scaling,31,8,0.8500000000000001,,2.8333333333333335,0.06439393939393939,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.8500000000000001,-0.46513816505604166,2.8333333333333335,0.06439393939393939,2.0859375,0.49999999999999994
c,size_scaling,31,8,0.8850000000000001,,1.4583333333333333,0.03314393939393939,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.8850000000000001,-0.20851021192167377,1.4583333333333333,0.03314393939393939,0.7109374999999996,0.49999999999999994
c,size_scaling,31,8,0.9200000000000002,,0.5833333333333333,0.013257575757575756,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.9200000000000002,0.04811774121269413,0.5833333333333333,0.013257575757575756,-0.16406250000000044,0.49999999999999994
c,size_scaling,31,8,0.9550000000000001,,0.0,0.0,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.9550000000000001,0.3047456943470612,0.0,0.0,-0.7473958333333337,0.49999999999999994
c,size_scaling,31,8,0.9900000000000001,,0.0,0.0,,0.49999999999999994
f,probability_scan_and_collapse,31,8,0.9900000000000001,0.5613736474814291,0.0,0.0,-0.7473958333333337,0.49999999999999994
c,size_scaling,31,12,0.7100000000000001,,14.333333333333332,0.21717171717171715,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.7100000000000001,-2.199769186086823,14.333333333333332,0.21717171717171715,13.776041666666664,0.49999999999999994
c,size_scaling,31,12,0.7450000000000001,,11.5,0.17424242424242425,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.7450000000000001,-1.8213142723514557,11.5,0.17424242424242425,10.942708333333332,0.49999999999999994
c,size_scaling,31,12,0.78,,9.541666666666668,0.1445707070707071,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.78,-1.4428593586160892,9.541666666666668,0.1445707070707071,8.984375,0.49999999999999994
c,size_scaling,31,12,0.8150000000000001,,7.333333333333333,0.1111111111111111,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.8150000000000001,-1.0644044448807215,7.333333333333333,0.1111111111111111,6.776041666666666,0.49999999999999994
c,size_scaling,31,12,0.8500000000000001,,4.333333333333333,0.06565656565656565,,0.5019802057692384
f,probability_scan_and_collapse,31,12,0.8500000000000001,-0.6859495311453537,4.333333333333333,0.06565656565656565,3.776041666666666,0.5019802057692384
c,size_scaling,31,12,0.8850000000000001,,1.1666666666666667,0.01767676767676768,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.8850000000000001,-0.307494617409986,1.1666666666666667,0.01767676767676768,0.6093749999999997,0.49999999999999994
c,size_scaling,31,12,0.9200000000000002,,0.41666666666666663,0.006313131313131312,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.9200000000000002,0.07096029632538167,0.41666666666666663,0.006313131313131312,-0.14062500000000044,0.49999999999999994
c,size_scaling,31,12,0.9550000000000001,,0.0,0.0,,0.49999999999999994
f,probability_scan_and_collapse,31,12,0.9550000000000001,0.44941521006074814,0.0,0.0,-0.5572916666666671,0.49999999999999994
