length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
64,0.8,23,0.9039892931234433,4.020016343665887,0.6537353489486758,12,20.0
64,0.8,27,0.970031253194544,4.330035037298673,0.6179096320681943,12,20.0
64,0.8,32,1.0,4.297448110240855,0.7517804498033219,12,20.0
64,1.0,2,0.0980171403295606,1.1503355097760823,0.3761922318599656,12,20.0
64,1.0,3,0.14673047445536175,1.7366530505247686,0.5152312599929093,12,20.0
64,1.0,4,0.19509032201612825,1.981402224005601,0.5012119631922103,12,20.0
64,1.0,5,0.24298017990326387,2.1392055522736464,0.6214983819497378,12,20.0
64,1.0,6,0.29028467725446233,2.325082853057023,0.6521294103890329,12,20.0
64,1.0,7,0.33688985339222005,2.5469219318369816,0.6667836774296539,12,20.0
64,1.0,9,0.4275550934302821,2.8219293537309067,0.6120335955552277,12,20.0
64,1.0,10,0.47139673682599764,3.0429351014060413,0.6213200986512327,12,20.0
64,1.0,12,0.5555702330196022,2.931188320142877,0.778231663383431,12,20.0
64,1.0,14,0.6343932841636455,2.9880036921295905,0.841174646148481,12,20.0
64,1.0,17,0.7409511253549591,3.41290109733376,0.9525079834121617,12,20.0
64,1.0,20,0.8314696123025452,3.5211929334820873,0.7958715506884709,12,20.0
64,1.0,23,0.9039892931234433,3.416832791654944,0.730348215054166,12,20.0
64,1.0,27,0.970031253194544,3.3832563931355755,0.6978150845269029,12,20.0
64,1.0,32,1.0,3.5972261464179565,0.7458582850079667,12,20.0
64,2.0,2,0.0980171403295606,0.8729933462609983,0.39044815134437755,12,20.0
64,2.0,3,0.14673047445536175,0.9105356388230667,0.39056625341849166,12,20.0
64,2.0,4,0.19509032201612825,0.9382703653024934,0.31337940728513886,12,20.0
64,2.0,5,0.24298017990326387,1.1455183403748466,0.46457017776947834,12,20.0
64,2.0,6,0.29028467725446233,1.23099736699865,0.5046202246316033,12,20.0
64,2.0,7,0.33688985339222005,1.2400896359158697,0.5570025622546237,12,20.0
64,2.0,9,0.4275550934302821,1.3382768169841401,0.5322991421676697,12,20.0
64,2.0,10,0.47139673682599764,1.4247404179433216,0.4195894099715981,12,20.0
64,2.0,12,0.5555702330196022,1.317778284572275,0.5230654237792337,12,20.0
64,2.0,14,0.6343932841636455,1.351026263032013,0.592995722717051,12,20.0
64,2.0,17,0.7409511253549591,1.230091615612642,0.5588209069683788,12,20.0
64,2.0,20,0.8314696123025452,1.2861838077454024,0.5234194834408682,12,20.0
64,2.0,23,0.9039892931234433,1.1729042541133654,0.44433213191972615,12,20.0
64,2.0,27,0.970031253194544,1.2626764713142251,0.45459202928906917,12,20.0
64,2.0,32,1.0,1.341810108066789,0.5491659994587295,12,20.0
