protocol,length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
qsd,48,0.1,7,0.44228869021900125,5.269074407567599,0.2743274641439923,8,60.0
qsd,48,0.1,9,0.5555702330196022,6.289023270579888,0.37808298601355783,8,60.0
qsd,48,0.1,10,0.6087614290087207,6.734169218607478,0.44236746281277955,8,60.0
qsd,48,0.1,12,0.7071067811865475,7.5999017909393265,0.4457281763583937,8,60.0
qsd,48,0.1,13,0.7518398074789774,7.85677423432307,0.5152544613406115,8,60.0
qsd,48,0.1,15,0.8314696123025451,8.484416154185737,0.4835382642746202,8,60.0
qsd,48,0.1,18,0.9238795325112867,9.178563080143064,0.5808497615889858,8,60.0
qsd,48,0.1,21,0.9807852804032304,9.753536009834612,0.5977414063720867,8,60.0
qsd,48,0.1,24,1.0,10.0127409804585,0.6079001495720399,8,60.0
qsd,48,0.15,2,0.13052619222005157,1.4822491176824424,0.2981427829902538,8,40.0
qsd,48,0.15,3,0.19509032201612825,2.1206253429085664,0.45496255037704775,8,40.0
qsd,48,0.15,4,0.25881904510252074,2.7171849293267165,0.5854638510980269,8,40.0
qsd,48,0.15,5,0.3214394653031616,3.2482822017818345,0.5922193540664779,8,40.0
qsd,48,0.15,6,0.3826834323650898,3.918792527768993,0.725465816752662,8,40.0
qsd,48,0.15,7,0.44228869021900125,4.386408529837867,0.6419164174009028,8,40.0
qsd,48,0.15,9,0.5555702330196022,5.322782203957875,0.6171258146327773,8,40.0
qsd,48,0.15,10,0.6087614290087207,5.7010141959301,0.6159542410879968,8,40.0
qsd,48,0.15,12,0.7071067811865475,6.492836887567297,0.5067609435516603,8,40.0
qsd,48,0.15,13,0.7518398074789774,6.680829794285913,0.596501801058256,8,40.0
qsd,48,0.15,15,0.8314696123025451,7.363301109492504,0.5767632109310193,8,40.0
qsd,48,0.15,18,0.9238795325112867,7.7725301859426,0.8532683205160752,8,40.0
qsd,48,0.15,21,0.9807852804032304,8.020799703635262,0.9735096015892685,8,40.0
qsd,48,0.15,24,1.0,8.419111371188263,0.8580649548225141,8,40.0
qsd,48,0.2,2,0.13052619222005157,1.5597871631004878,0.2936309054790423,8,30.0
qsd,48,0.2,3,0.19509032201612825,2.2864477964217738,0.41081576644705053,8,30.0
qsd,48,0.2,4,0.25881904510252074,2.8995387054848374,0.45935721396343,8,30.0
qsd,48,0.2,5,0.3214394653031616,3.4771928445651823,0.41793265489945036,8,30.0
qsd,48,0.2,6,0.3826834323650898,3.9944378758792447,0.4421193998210262,8,30.0
qsd,48,0.2,7,0.44228869021900125,4.490013128149023,0.597756099684295,8,30.0
qsd,48,0.2,9,0.5555702330196022,5.347485952154992,0.5014186293796621,8,30.0
qsd,48,0.2,10,0.6087614290087207,5.6745682871539875,0.4538370081184977,8,30.0
qsd,48,0.2,12,0.7071067811865475,6.165026955596254,0.542204131346297,8,30.0
qsd,48,0.2,13,0.7518398074789774,6.427890315615362,0.5440773001619241,8,30.0
qsd,48,0.2,15,0.8314696123025451,6.796123926302802,0.6048140401320493,8,30.0
qsd,48,0.2,18,0.9238795325112867,7.248286248967334,0.58806189141616,8,30.0
qsd,48,0.2,21,0.9807852804032304,7.270635226753881,0.6735017455511222,8,30.0
qsd,48,0.2,24,1.0,7.6148890303536705,0.6343725338555305,8,30.0
qsd,48,0.25,2,0.13052619222005157,1.5875345602878506,0.22994400621997155,8,24.0
qsd,48,0.25,3,0.19509032201612825,2.0660246618657054,0.4547960757065584,8,24.0
qsd,48,0.25,4,0.25881904510252074,2.7632924910140173,0.4773266647553526,8,24.0
qsd,48,0.25,5,0.3214394653031616,3.279024186385023,0.5655706285129531,8,24.0
qsd,48,0.25,6,0.3826834323650898,3.6639759541329275,0.6318567812425557,8,24.0
qsd,48,0.25,7,0.44228869021900125,3.9511069862680475,0.5866895564579684,8,24.0
qsd,48,0.25,9,0.5555702330196022,4.928345413520406,0.6857991142619476,8,24.0
qsd,48,0.25,10,0.6087614290087207,5.188801379432694,0.7211772602113812,8,24.0
qsd,48,0.25,12,0.7071067811865475,5.7088136339587905,0.7572382059670726,8,24.0
qsd,48,0.25,13,0.7518398074789774,5.9007468221957025,0.9425351783721637,8,24.0
qsd,48,0.25,15,0.8314696123025451,6.232115937981779,0.7199850748879308,8,24.0
qsd,48,0.25,18,0.9238795325112867,6.367338257326402,0.7498562081193317,8,24.0
qsd,48,0.25,21,0.9807852804032304,6.748979373957129,0.8233459767792616,8,24.0
qsd,48,0.25,24,1.0,6.906608786667253,0.7332472645218563,8,24.0
qsd,48,0.3,2,0.13052619222005157,1.6757120417452596,0.18047638408416863,8,20.0
qsd,48,0.3,3,0.19509032201612825,2.2185406612273093,0.32294762773703756,8,20.0
qsd,48,0.3,4,0.25881904510252074,2.8758525567927666,0.26488390266724,8,20.0
qsd,48,0.3,5,0.3214394653031616,3.312941685347742,0.22230378405271414,8,20.0
qsd,48,0.3,6,0.3826834323650898,3.832726574433842,0.2376002749130452,8,20.0
qsd,48,0.3,7,0.44228869021900125,4.156729655657864,0.3344782658355535,8,20.0
qsd,48,0.3,9,0.5555702330196022,4.586737732539061,0.3753419956617747,8,20.0
qsd,48,0.3,10,0.6087614290087207,4.773497554472233,0.3320500506568533,8,20.0
qsd,48,0.3,12,0.7071067811865475,5.150634123897455,0.2995984906366871,8,20.0
qsd,48,0.3,13,0.7518398074789774,5.399899562205779,0.37287409936903265,8,20.0
qsd,48,0.3,15,0.8314696123025451,5.775849913051936,0.4117290673716832,8,20.0
qsd,48,0.3,18,0.9238795325112867,6.021057343269741,0.41547693789326484,8,20.0
qsd,48,0.3,21,0.9807852804032304,6.304132149928076,0.6082485104899915,8,20.0
