kind,two_chi_over_kappa,time_kappa,alpha_g_real,alpha_g_imag,alpha_e_real,alpha_e_imag,integration_kappa_time,snr
trajectory,1.0,5.34,0.7284835950427639,-0.7729771276229607,-0.7284835950427639,-0.7729771276229607,,
trajectory,1.0,5.36,0.7289219723805335,-0.7721068084231043,-0.7289219723805335,-0.7721068084231043,,
trajectory,1.0,5.38,0.7293473496401398,-0.7712408520448194,-0.7293473496401398,-0.7712408520448194,,
trajectory,1.0,5.4,0.7297599000114406,-0.7703793435664444,-0.7297599000114406,-0.7703793435664444,,
trajectory,1.0,5.42,0.7301597957947565,-0.7695223655009255,-0.7301597957947565,-0.7695223655009255,,
trajectory,1.0,5.44,0.7305472083843675,-0.7686699978302756,-0.7305472083843675,-0.7686699978302756,,
trajectory,1.0,5.46,0.7309223082525165,-0.7678223180398541,-0.7309223082525165,-0.7678223180398541,,
trajectory,1.0,5.48,0.731285264933911,-0.7669794011524602,-0.731285264933911,-0.7669794011524602,,
trajectory,1.0,5.5,0.7316362470107186,-0.7661413197622399,-0.7316362470107186,-0.7661413197622399,,
trajectory,1.0,5.5200000000000005,0.7319754220980477,-0.765308144068402,-0.7319754220980477,-0.765308144068402,,
trajectory,1.0,5.54,0.732302956829906,-0.7644799419087411,-0.732302956829906,-0.7644799419087411,,
trajectory,1.0,5.5600000000000005,0.7326190168456341,-0.7636567787929647,-0.7326190168456341,-0.7636567787929647,,
trajectory,1.0,5.58,0.7329237667768013,-0.7628387179358195,-0.7329237667768013,-0.7628387179358195,,
trajectory,1.0,5.6000000000000005,0.7332173702345632,-0.7620258202900186,-0.7332173702345632,-0.7620258202900186,,
trajectory,1.0,5.62,0.7334999897974703,-0.7612181445789632,-0.7334999897974703,-0.7612181445789632,,
trajectory,1.0,5.64,0.7337717869997229,-0.7604157473292583,-0.7337717869997229,-0.7604157473292583,,
trajectory,1.0,5.66,0.7340329223198647,-0.7596186829030189,-0.7340329223198647,-0.7596186829030189,,
trajectory,1.0,5.68,0.7342835551699107,-0.758827003529966,-0.7342835551699107,-0.758827003529966,,
trajectory,1.0,5.7,0.7345238438848999,-0.7580407593393083,-0.7345238438848999,-0.7580407593393083,,
trajectory,1.0,5.72,0.7347539457128693,-0.7572599983914097,-0.7347539457128693,-0.7572599983914097,,
trajectory,1.0,5.74,0.7349740168052417,-0.7564847667092383,-0.7349740168052417,-0.7564847667092383,,
trajectory,1.0,5.76,0.7351842122076199,-0.7557151083095969,-0.7351842122076199,-0.7557151083095969,,
trajectory,1.0,5.78,0.7353846858509832,-0.7549510652341311,-0.7353846858509832,-0.7549510652341311,,
trajectory,1.0,5.8,0.7355755905432781,-0.7541926775801169,-0.7355755905432781,-0.7541926775801169,,
trajectory,1.0,5.82,0.7357570779613997,-0.7534399835310203,-0.7357570779613997,-0.7534399835310203,,
trajectory,1.0,5.84,0.735929298643552,-0.752693019386834,-0.735929298643552,-0.752693019386834,,
trajectory,1.0,5.86,0.7360924019819907,-0.7519518195941843,-0.7360924019819907,-0.7519518195941843,,
trajectory,1.0,5.88,0.7362465362161298,-0.7512164167762098,-0.7362465362161298,-0.7512164167762098,,
trajectory,1.0,5.9,0.7363918484260195,-0.7504868417622081,-0.7363918484260195,-0.7504868417622081,,
trajectory,1.0,5.92,0.7365284845261781,-0.7497631236170537,-0.7365284845261781,-0.7497631236170537,,
trajectory,1.0,5.94,0.7366565892597793,-0.7490452896703786,-0.7366565892597793,-0.7490452896703786,,
trajectory,1.0,5.96,0.7367763061931852,-0.7483333655455227,-0.7367763061931852,-0.7483333655455227,,
trajectory,1.0,5.98,0.7368877777108219,-0.7476273751882453,-0.7368877777108219,-0.7476273751882453,,
trajectory,1.0,6.0,0.7369911450103891,-0.7469273408952034,-0.7369911450103891,-0.7469273408952034,,
trajectory,1.0,6.0200000000000005,0.7370865480984009,-0.7462332833421906,-0.7370865480984009,-0.7462332833421906,,
trajectory,1.0,6.04,0.7371741257860499,-0.7455452216121378,-0.7371741257860499,-0.7455452216121378,,
trajectory,1.0,6.0600000000000005,0.7372540156853902,-0.7448631732228759,-0.7372540156853902,-0.7448631732228759,,
trajectory,1.0,6.08,0.7373263542058333,-0.7441871541546587,-0.7373263542058333,-0.7441871541546587,,
trajectory,1.0,6.1000000000000005,0.7373912765509517,-0.7435171788774434,-0.7373912765509517,-0.7435171788774434,,
trajectory,1.0,6.12,0.7374489167155843,-0.7428532603779323,-0.7374489167155843,-0.7428532603779323,,
trajectory,1.0,6.140000000000001,0.7374994074832392,-0.7421954101863714,-0.7374994074832392,-0.7421954101863714,,
trajectory,1.0,6.16,0.7375428804237859,-0.741543638403107,-0.7375428804237859,-0.741543638403107,,
trajectory,1.0,6.18,0.7375794658914364,-0.7408979537248997,-0.7375794658914364,-0.7408979537248997,,
trajectory,1.0,6.2,0.7376092930230045,-0.7402583634709958,-0.7376092930230045,-0.7402583634709958,,
trajectory,1.0,6.22,0.7376324897364414,-0.739624873608953,-0.7376324897364414,-0.739624873608953,,
trajectory,1.0,6.24,0.7376491827296421,-0.738997488780226,-0.7376491827296421,-0.738997488780226,,
trajectory,1.0,6.26,0.7376594974795168,-0.7383762123255044,-0.7376594974795168,-0.7383762123255044,,
