EJ_over_EC,offset_charge,level,energy_GHz,EC_GHz,EJ_GHz
2.0,0.3875000000000002,1,2.718799351646672,1.25,2.5
2.0,0.3875000000000002,2,9.925641268675859,1.25,2.5
2.0,0.40000000000000013,0,0.0,1.25,2.5
2.0,0.40000000000000013,1,2.666884344288198,1.25,2.5
2.0,0.40000000000000013,2,10.084685902669236,1.25,2.5
2.0,0.4125000000000001,0,0.0,1.25,2.5
2.0,0.4125000000000001,1,2.620227702085863,1.25,2.5
2.0,0.4125000000000001,2,10.246485142433583,1.25,2.5
2.0,0.42500000000000004,0,0.0,1.25,2.5
2.0,0.42500000000000004,1,2.579113104379552,1.25,2.5
2.0,0.42500000000000004,2,10.411173792063046,1.25,2.5
2.0,0.4375,0,0.0,1.25,2.5
2.0,0.4375,1,2.543807705556364,1.25,2.5
2.0,0.4375,2,10.57887733455749,1.25,2.5
2.0,0.4500000000000002,0,0.0,1.25,2.5
2.0,0.4500000000000002,1,2.514554800496203,1.25,2.5
2.0,0.4500000000000002,2,10.74970626446737,1.25,2.5
2.0,0.46250000000000013,0,0.0,1.25,2.5
2.0,0.46250000000000013,1,2.4915663836513593,1.25,2.5
2.0,0.46250000000000013,2,10.923746476153422,1.25,2.5
2.0,0.4750000000000001,0,0.0,1.25,2.5
2.0,0.4750000000000001,1,2.475016059890928,1.25,2.5
2.0,0.4750000000000001,2,11.101032321963716,1.25,2.5
2.0,0.48750000000000004,0,0.0,1.25,2.5
2.0,0.48750000000000004,1,2.4650328111200697,1.25,2.5
2.0,0.48750000000000004,2,11.28138088022933,1.25,2.5
2.0,0.5,0,0.0,1.25,2.5
2.0,0.5,1,2.4616961118830742,1.25,2.5
2.0,0.5,2,11.447485096001838,1.25,2.5
2.0,0.5125000000000002,0,0.0,1.25,2.5
2.0,0.5125000000000002,1,2.4650328111200706,1.25,2.5
2.0,0.5125000000000002,2,11.281380880229326,1.25,2.5
2.0,0.5250000000000001,0,0.0,1.25,2.5
2.0,0.5250000000000001,1,2.475016059890927,1.25,2.5
2.0,0.5250000000000001,2,11.101032321963714,1.25,2.5
2.0,0.5375000000000001,0,0.0,1.25,2.5
2.0,0.5375000000000001,1,2.4915663836513597,1.25,2.5
2.0,0.5375000000000001,2,10.923746476153418,1.25,2.5
2.0,0.55,0,0.0,1.25,2.5
2.0,0.55,1,2.5145548004962035,1.25,2.5
2.0,0.55,2,10.74970626446737,1.25,2.5
2.0,0.5625,0,0.0,1.25,2.5
2.0,0.5625,1,2.5438077055563637,1.25,2.5
2.0,0.5625,2,10.578877334557488,1.25,2.5
2.0,0.5750000000000002,0,0.0,1.25,2.5
2.0,0.5750000000000002,1,2.579113104379551,1.25,2.5
2.0,0.5750000000000002,2,10.411173792063046,1.25,2.5
2.0,0.5875000000000001,0,0.0,1.25,2.5
2.0,0.5875000000000001,1,2.6202277020858626,1.25,2.5
2.0,0.5875000000000001,2,10.246485142433578,1.25,2.5
2.0,0.6000000000000001,0,0.0,1.25,2.5
2.0,0.6000000000000001,1,2.666884344288199,1.25,2.5
2.0,0.6000000000000001,2,10.084685902669232,1.25,2.5
2.0,0.6125,0,0.0,1.25,2.5
2.0,0.6125,1,2.718799351646672,1.25,2.5
2.0,0.6125,2,9.925641268675854,1.25,2.5
2.0,0.625,0,0.0,1.25,2.5
2.0,0.625,1,2.775679375584841,1.25,2.5
2.0,0.625,2,9.76921138184663,1.25,2.5
2.0,0.6375000000000002,0,0.0,1.25,2.5
2.0,0.6375000000000002,1,2.8372275082313605,1.25,2.5
