time,mean_photon_number,analytic_mean_photon_number,absolute_error,trace,hermiticity_error,minimum_density_eigenvalue
6.45,0.3659559114734747,0.36595591146510964,8.365086401340704e-12,1.0000000000000004,0.0,2.2826071825155353e-12
6.5,0.3616796978850222,0.3616796979108515,2.5829338667904267e-11,1.0000000000000004,0.0,2.2237364418851473e-12
6.550000000000001,0.3574881590574295,0.3574881590581913,7.618350394977824e-13,1.0000000000000002,0.0,2.16610465463022e-12
6.6000000000000005,0.35337961823562847,0.3533796182357002,7.172040739078511e-14,1.0000000000000004,0.0,2.1097124624897633e-12
6.65,0.3493524319477895,0.34935243197226773,2.4478252758086683e-11,1.0000000000000004,0.0,2.054558104187918e-12
6.7,0.3454049893460723,0.34540498933969205,6.38022967791585e-12,1.0000000000000004,0.0,2.000637601330511e-12
6.75,0.34153571129803384,0.3415357113082868,1.0252965143564552e-11,1.0000000000000002,0.0,1.9479450247433155e-12
6.800000000000001,0.3377430500954838,0.3377430501152483,1.9764523351284424e-11,1.0000000000000004,0.0,1.8964725595881483e-12
6.8500000000000005,0.33402548865587495,0.33402548864553017,1.0344780587701052e-11,1.0000000000000002,0.0,1.8462107186368365e-12
6.9,0.3303815398075445,0.330381539824976,1.743150068733712e-11,1.0000000000000004,0.0,1.797148532459987e-12
6.95,0.32680974601082563,0.32680974602547114,1.4645507029342753e-11,1.0000000000000004,0.0,1.7492736007390642e-12
7.0,0.32330867849426853,0.32330867848187117,1.2397360915628042e-11,1.0000000000000004,0.0,1.7025723058643929e-12
7.050000000000001,0.3198769366990111,0.3198769367204771,2.1465995647673708e-11,1.0000000000000004,0.0,1.6570299426509207e-12
7.1000000000000005,0.3165131479881705,0.3165131479988273,1.0656808768771953e-11,1.0000000000000004,0.0,1.612630764640257e-12
7.15,0.3132159667702483,0.3132159667565819,1.3666401343925827e-11,1.0000000000000002,0.0,1.5693581804394913e-12
7.2,0.3099840740539679,0.30998407407728107,2.3313184716045043e-11,1.0000000000000002,0.0,1.5271948420721585e-12
7.25,0.30681617715234344,0.30681617716076054,8.417100350044393e-12,1.0000000000000004,0.0,1.4861226858680262e-12
7.300000000000001,0.3037110088207711,0.3037110088060146,1.4756529331805268e-11,1.0000000000000002,0.0,1.4461231036959852e-12
7.3500000000000005,0.30066732688058295,0.3006673269042984,2.371547402901797e-11,1.0000000000000004,0.0,1.4071770053613941e-12
7.4,0.2976839139341034,0.29768391394226856,8.165190745756945e-12,1.0000000000000002,0.0,1.3692648511848322e-12
7.45,0.29475957653081464,0.29475957651496065,1.5853984791647235e-11,1.0000000000000002,0.0,1.3323667962000105e-12
7.5,0.2918931448256344,0.2918931448484122,2.2777835173570793e-11,1.0000000000000002,0.0,1.2964627376615758e-12
7.550000000000001,0.28908347232169795,0.28908347233173687,1.0038914144416822e-11,1.0000000000000002,0.0,1.2615323370243763e-12
7.6000000000000005,0.2863294350752963,0.2863294350584653,1.6830981053317373e-11,1.0000000000000002,0.0,1.2275551375508386e-12
7.65,0.2836299313571055,0.2836299313769671,1.9861612354787894e-11,1.0000000000000007,0.0,1.1945106046658935e-12
7.7,0.28098388143572905,0.280983881449776,1.40469302856161e-11,1.0000000000000004,0.0,1.1623781369826757e-12
