frequency_mhz,intensity
-37.3,0.32418421788633595
-37.25,0.31848407359649117
-37.2,0.3134306250993245
-37.15,0.30903339223015264
-37.1,0.3053006197867538
-37.05,0.3022392782562512
-37.0,0.29985506476335
-36.95,0.29815240407553895
-36.9,0.2971344495282749
-36.85,0.2968030837620876
-36.8,0.2971589191937032
-36.75,0.2982012981743229
-36.7,0.2999282928197526
-36.65,0.30233670452881567
-36.6,0.3054220632380291
-36.55,0.30917862649154243
-36.5,0.3135993784354387
-36.45,0.3186760288744083
-36.4,0.3243990125560995
-36.35,0.3307574888739064
-36.3,0.3377393422022178
-36.25,0.34533118309891564
-36.2,0.3535183506280408
-36.15,0.3622849160706256
-36.1,0.3716136883036951
-36.05,0.3814862211361028
-36.0,0.391882822894987
-35.95,0.4027825685583099
-35.9,0.4141633147267996
-35.85,0.4260017177228994
-35.8,0.4382732550948665
-35.75,0.4509522507909586
-35.7,0.4640119042519895
-35.65,0.47742432365018656
-35.6,0.4911605634787161
-35.55,0.5051906666694386
-35.5,0.5194837113865743
-35.45,0.5340078626115219
-35.4,0.5487304285989189
-35.35,0.5636179222468808
-35.3,0.5786361273852635
-35.25,0.5937501699450922
-35.2,0.6089245939306338
-35.15,0.6241234420728972
-35.1,0.6393103410004412
-35.05,0.6544485907204072
-35.0,0.6695012581600399
-34.95,0.6844312744773327
-34.9,0.6992015358087692
-34.85,0.713775007083287
-34.8,0.7281148284946563
-34.75,0.7421844241898516
-34.7,0.7559476126992758
-34.65,0.769368718605838
-34.6,0.782412684924569
-34.55,0.7950451856427344
-34.5,0.8072327378525233
-34.45,0.818942812894796
-34.4,0.830143945922898
-34.35,0.8408058432906568
-34.3,0.85089948716831
-34.25,0.8603972367942755
-34.2,0.8692729257796289
-34.15,0.8775019548955538
-34.1,0.8850613797921011
-34.05,0.8919299931190647
-34.0,0.8980884005465012
-33.95,0.9035190902133452
-33.9,0.908206495167267
-33.849999999999994,0.9121370483973157
-33.8,0.9152992301025619
-33.75,0.9176836068846264
-33.7,0.9192828625992977
-33.65,0.920091820652011
-33.599999999999994,0.9201074575733877
-33.55,0.919328907763899
-33.5,0.9177574593505907
-33.45,0.9153965411532559
-33.4,0.9122517008120031
-33.349999999999994,0.9083305741824378
-33.3,0.9036428461581482
-33.25,0.8982002031325239
-33.2,0.8920162773626192
-33.15,0.8851065835464824
-33.099999999999994,0.8774884479716786
-33.05,0.869180930636288
-33.0,0.8602047407841603
-32.95,0.8505821463333038
-32.9,0.8403368777097504
-32.849999999999994,0.829494026628825
-32.8,0.8180799403912379
-32.75,0.8061221122827112
-32.7,0.7936490686827647
-32.65,0.7806902535007544
-32.599999999999994,0.7672759105652979
-32.55,0.7534369645967349
-32.5,0.7392049013913959
-32.45,0.724611647841217
-32.4,0.709689452402718
-32.349999999999994,0.6944707666158231
-32.3,0.6789881282554734
-32.25,0.663274046677829
-32.2,0.6473608908982142
-32.15,0.6312807809100986
-32.099999999999994,0.6150654827237058
-32.05,0.5987463075694712
-32.0,0.5823540156759769
-31.95,0.5659187249944455
-31.9,0.5494698252026801
-31.849999999999998,0.5330358972809303
