case,epsilon,frequency,amplitude
interacting,0.030000,0.214285714286,0.002223307712
interacting,0.030000,0.221428571429,0.002264524031
interacting,0.030000,0.228571428571,0.002308487853
interacting,0.030000,0.235714285714,0.002355409115
interacting,0.030000,0.242857142857,0.002405522041
interacting,0.030000,0.250000000000,0.002459088634
interacting,0.030000,0.257142857143,0.002516402804
interacting,0.030000,0.264285714286,0.002577795282
interacting,0.030000,0.271428571429,0.002643639496
interacting,0.030000,0.278571428571,0.002714358644
interacting,0.030000,0.285714285714,0.002790434354
interacting,0.030000,0.292857142857,0.002872416683
interacting,0.030000,0.300000000000,0.002960938733
interacting,0.030000,0.307142857143,0.003056729036
interacting,0.030000,0.314285714286,0.003160637407
interacting,0.030000,0.321428571429,0.003273657249
interacting,0.030000,0.328571428571,0.003396958662
interacting,0.030000,0.335714285714,0.003531943599
interacting,0.030000,0.342857142857,0.003680301350
interacting,0.030000,0.350000000000,0.003844119853
interacting,0.030000,0.357142857143,0.004026064460
interacting,0.030000,0.364285714286,0.004229740427
interacting,0.030000,0.371428571429,0.004460738107
interacting,0.030000,0.378571428571,0.004724782086
interacting,0.030000,0.385714285714,0.005078511827
interacting,0.030000,0.392857142857,0.005335063962
interacting,0.030000,0.400000000000,0.005755245474
interacting,0.030000,0.407142857143,0.006119910645
interacting,0.030000,0.414285714286,0.006658510880
interacting,0.030000,0.421428571429,0.007112401651
interacting,0.030000,0.428571428571,0.007719108349
interacting,0.030000,0.435714285714,0.008548395028
interacting,0.030000,0.442857142857,0.009844358980
interacting,0.030000,0.450000000000,0.010991507537
interacting,0.030000,0.457142857143,0.012796776002
interacting,0.030000,0.464285714286,0.016727622368
interacting,0.030000,0.471428571429,0.020967831081
interacting,0.030000,0.478571428571,0.029957903228
interacting,0.030000,0.485714285714,0.052721318341
interacting,0.030000,0.492857142857,0.049806861044
interacting,0.030000,0.500000000000,1.000000000000
interacting,0.060000,0.207142857143,0.002014611575
interacting,0.060000,0.214285714286,0.002050461888
interacting,0.060000,0.221428571429,0.002088662823
interacting,0.060000,0.228571428571,0.002129391564
interacting,0.060000,0.235714285714,0.002172844669
interacting,0.060000,0.242857142857,0.002219240734
interacting,0.060000,0.250000000000,0.002268823757
interacting,0.060000,0.257142857143,0.002321866996
interacting,0.060000,0.264285714286,0.002378677567
interacting,0.060000,0.271428571429,0.002439601833
interacting,0.060000,0.278571428571,0.002505032213
interacting,0.060000,0.285714285714,0.002575414123
interacting,0.060000,0.292857142857,0.002651256970
interacting,0.060000,0.300000000000,0.002733146006
interacting,0.060000,0.307142857143,0.002821752162
interacting,0.060000,0.314285714286,0.002917857568
interacting,0.060000,0.321428571429,0.003022368744
interacting,0.060000,0.328571428571,0.003136362734
interacting,0.060000,0.335714285714,0.003261059375
interacting,0.060000,0.342857142857,0.003398012058
interacting,0.060000,0.350000000000,0.003549827522
interacting,0.060000,0.357142857143,0.003717289858
interacting,0.060000,0.364285714286,0.003902890661
interacting,0.060000,0.371428571429,0.004125217023
interacting,0.060000,0.378571428571,0.004394715673
interacting,0.060000,0.385714285714,0.004535383584
interacting,0.060000,0.392857142857,0.005026798824
interacting,0.060000,0.400000000000,0.005302368807
interacting,0.060000,0.407142857143,0.006504179370
interacting,0.060000,0.414285714286,0.006230175785
interacting,0.060000,0.421428571429,0.006432240192
interacting,0.060000,0.428571428571,0.006908226490
interacting,0.060000,0.435714285714,0.007115044965
interacting,0.060000,0.442857142857,0.009838969034
interacting,0.060000,0.450000000000,0.010183875266
interacting,0.060000,0.457142857143,0.013277569343
interacting,0.060000,0.464285714286,0.018085816527
interacting,0.060000,0.471428571429,0.022059151725
interacting,0.060000,0.478571428571,0.007515684011
interacting,0.060000,0.485714285714,0.010164452410
interacting,0.060000,0.492857142857,0.007392530136
interacting,0.060000,0.500000000000,1.000000000000
interacting,0.100000,0.207142857143,0.002699801924
interacting,0.100000,0.214285714286,0.002748051933
interacting,0.100000,0.221428571429,0.002799598057
