paper_point_index,job_index,job_id,paper_id,target_id,target_label,profile,panel,L,J_z,epsilon,epsilon_c,beta,nu,sample_start,sample_count,seed,endpoint_mutual_information,scaling_x,scaling_y,chunk_job_count,source_job_indices,compute_backend
41,121,T003-medium-fig3d-L8-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,8,0.15,0.45,0.13,0.47,1.35,0,1000,1805300,0.012584046558403639,1.4931571706574291,0.03344048829216188,2,121;122,cupy
42,123,T003-medium-fig3d-L10-eps0.0000,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,10,0.15,0.0,0.13,0.47,1.35,0,1000,1801000,0.6931471805598761,-0.7156226750211462,2.0456223547060977,4,123;124;125;126,cupy
43,127,T003-medium-fig3d-L10-eps0.0846,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,10,0.15,0.0846,0.13,0.47,1.35,0,1000,1801846,0.48243616521262556,-0.2499174572766157,1.4237700620530493,4,127;128;129;130,cupy
44,131,T003-medium-fig3d-L10-eps0.1482,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,10,0.15,0.1482,0.13,0.47,1.35,0,1000,1802482,0.23314297689207397,0.10018717450296043,0.6880537045363566,4,131;132;133;134,cupy
45,135,T003-medium-fig3d-L10-eps0.2390,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,10,0.15,0.239,0.13,0.47,1.35,0,1000,1803390,0.05329135854873612,0.6000220890561917,0.15727394905061662,4,135;136;137;138,cupy
46,139,T003-medium-fig3d-L10-eps0.3117,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,10,0.15,0.3117,0.13,0.47,1.35,0,1000,1804117,0.02060641667619098,1.0002203080872478,0.060813847023306895,4,139;140;141;142,cupy
47,143,T003-medium-fig3d-L10-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,10,0.15,0.45,0.13,0.47,1.35,0,1000,1805500,0.004918365180023274,1.7615327385135906,0.014515124699399366,4,143;144;145;146,cupy
48,147,T003-medium-fig3d-L12-eps0.0000,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.0,0.13,0.47,1.35,0,300,1801200,0.693147180559876,-0.8190998905433318,2.2286437237507957,3,147;148;149,cupy
49,150,T003-medium-fig3d-L12-eps0.0665,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.0665,0.13,0.47,1.35,0,300,1801865,0.5431595523963385,-0.40009879268847354,1.7463955151135815,3,150;151;152,cupy
50,153,T003-medium-fig3d-L12-eps0.1300,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.13,0.13,0.47,1.35,0,300,1802500,0.2839633430008227,0.0,0.913014060942877,3,153;154;155,cupy
51,156,T003-medium-fig3d-L12-eps0.1935,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.1935,0.13,0.47,1.35,0,300,1803135,0.11026424632858092,0.40009879268847354,0.354527476164315,3,156;157;158,cupy
52,159,T003-medium-fig3d-L12-eps0.2800,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.28,0.13,0.47,1.35,0,300,1804000,0.02006313931872504,0.945115258319229,0.06450807386289568,3,159;160;161,cupy
53,162,T003-medium-fig3d-L12-eps0.3681,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.3681,0.13,0.47,1.35,0,300,1804881,0.004978227224690057,1.5002129533720558,0.0160062612542827,3,162;163;164,cupy
54,165,T003-medium-fig3d-L12-eps0.4500,1608.02589,T003,Fig. 3b-d endpoint mutual information scaling collapse,medium,Fig. 3d,12,0.15,0.45,0.13,0.47,1.35,0,300,1805700,0.0025705520875013168,2.016245884414355,0.00826497594891312,3,165;166;167,cupy
