case,L,samples,epsilon,frequency,amplitude
interacting,14,16,0.030000000000,0.428571428571,0.007497446966
interacting,14,16,0.030000000000,0.435714285714,0.008326931601
interacting,14,16,0.030000000000,0.442857142857,0.009339667221
interacting,14,16,0.030000000000,0.450000000000,0.010889051418
interacting,14,16,0.030000000000,0.457142857143,0.012637030478
interacting,14,16,0.030000000000,0.464285714286,0.016004849748
interacting,14,16,0.030000000000,0.471428571429,0.020650124718
interacting,14,16,0.030000000000,0.478571428571,0.027401489203
interacting,14,16,0.030000000000,0.485714285714,0.043235055147
interacting,14,16,0.030000000000,0.492857142857,0.036865901988
interacting,14,16,0.030000000000,0.500000000000,1.000000000000
noninteracting,14,1,0.060000000000,0.207142857143,0.002419034576
noninteracting,14,1,0.060000000000,0.214285714286,0.002478290348
noninteracting,14,1,0.060000000000,0.221428571429,0.002542305400
noninteracting,14,1,0.060000000000,0.228571428571,0.002611547590
noninteracting,14,1,0.060000000000,0.235714285714,0.002686549888
noninteracting,14,1,0.060000000000,0.242857142857,0.002767921475
noninteracting,14,1,0.060000000000,0.250000000000,0.002856361133
noninteracting,14,1,0.060000000000,0.257142857143,0.002952673495
noninteracting,14,1,0.060000000000,0.264285714286,0.003057788857
noninteracting,14,1,0.060000000000,0.271428571429,0.003172787490
noninteracting,14,1,0.060000000000,0.278571428571,0.003298929646
noninteracting,14,1,0.060000000000,0.285714285714,0.003437692851
noninteracting,14,1,0.060000000000,0.292857142857,0.003590818555
noninteracting,14,1,0.060000000000,0.300000000000,0.003760370960
noninteracting,14,1,0.060000000000,0.307142857143,0.003948811777
noninteracting,14,1,0.060000000000,0.314285714286,0.004159096051
noninteracting,14,1,0.060000000000,0.321428571429,0.004394796164
noninteracting,14,1,0.060000000000,0.328571428571,0.004660263890
noninteracting,14,1,0.060000000000,0.335714285714,0.004960844525
noninteracting,14,1,0.060000000000,0.342857142857,0.005303163201
noninteracting,14,1,0.060000000000,0.350000000000,0.005695512713
noninteracting,14,1,0.060000000000,0.357142857143,0.006148386392
noninteracting,14,1,0.060000000000,0.364285714286,0.006675221879
noninteracting,14,1,0.060000000000,0.371428571429,0.007293457513
noninteracting,14,1,0.060000000000,0.378571428571,0.008026062208
noninteracting,14,1,0.060000000000,0.385714285714,0.008903800023
noninteracting,14,1,0.060000000000,0.392857142857,0.009968666204
noninteracting,14,1,0.060000000000,0.400000000000,0.011279250296
noninteracting,14,1,0.060000000000,0.407142857143,0.012919384908
noninteracting,14,1,0.060000000000,0.414285714286,0.015012635696
noninteracting,14,1,0.060000000000,0.421428571429,0.017747702229
noninteracting,14,1,0.060000000000,0.428571428571,0.021425449311
noninteracting,14,1,0.060000000000,0.435714285714,0.026552077875
noninteracting,14,1,0.060000000000,0.442857142857,0.034040269421
noninteracting,14,1,0.060000000000,0.450000000000,0.045695697635
noninteracting,14,1,0.060000000000,0.457142857143,0.065596182878
noninteracting,14,1,0.060000000000,0.464285714286,0.105069256714
noninteracting,14,1,0.060000000000,0.471428571429,0.210337126623
noninteracting,14,1,0.060000000000,0.478571428571,1.000000000000
noninteracting,14,1,0.060000000000,0.485714285714,0.585220587231
noninteracting,14,1,0.060000000000,0.492857142857,0.298949682216
noninteracting,14,1,0.060000000000,0.500000000000,0.256915481976
interacting,14,16,0.060000000000,0.207142857143,0.004155013842
interacting,14,16,0.060000000000,0.214285714286,0.004228775275
interacting,14,16,0.060000000000,0.221428571429,0.004307430000
interacting,14,16,0.060000000000,0.228571428571,0.004391342879
interacting,14,16,0.060000000000,0.235714285714,0.004480919122
interacting,14,16,0.060000000000,0.242857142857,0.004576611397
interacting,14,16,0.060000000000,0.250000000000,0.004678926767
interacting,14,16,0.060000000000,0.257142857143,0.004788434840
interacting,14,16,0.060000000000,0.264285714286,0.004905777707
interacting,14,16,0.060000000000,0.271428571429,0.005031681954
interacting,14,16,0.060000000000,0.278571428571,0.005166972686
interacting,14,16,0.060000000000,0.285714285714,0.005312592209
interacting,14,16,0.060000000000,0.292857142857,0.005469618174
interacting,14,16,0.060000000000,0.300000000000,0.005639302748
interacting,14,16,0.060000000000,0.307142857143,0.005823078198
