convention,hopping_pi,delta_difference_pi,sigma_z_coefficient_pi,gap_zero_pi,gap_pi_pi,coarse_winding_zero_raw,coarse_winding_pi_raw,winding_zero_raw,winding_pi_raw,chern_upper_raw,winding_zero,winding_pi,chern_upper,quantization_residual,bulk_edge_relation_residual,winding_momentum_points_used,winding_time_points_used,adaptive_refinement_used,status
onsite_difference,2.4499999999999997,0.1,0.05,0.009735745712660704,0.9598503925541368,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.5,0.1,0.05,0.010020606017748353,0.9726520701554888,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.55,0.1,0.05,0.009565710838454986,0.9587033174456328,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.6,0.1,0.05,0.00882990055609541,0.9198348298968708,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.65,0.1,0.05,0.008128828443012593,0.8805777029192844,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.7,0.1,0.05,0.00746348711988777,0.8412301107302834,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.75,0.1,0.05,0.006834749195804952,0.8018579901740474,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.8,0.1,0.05,0.006243357394516984,0.7624873623612898,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.85,0.1,0.05,0.005689911793279002,0.7231333174612569,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.9,0.1,0.05,0.005174853324378715,0.6838076049416102,,,,,,,,,,,,,False,gap_closing
onsite_difference,2.95,0.1,0.05,0.004698442741981745,0.6445214664856161,,,,,,,,,,,,,False,gap_closing
onsite_difference,3.0,0.1,0.05,0.0042607346075230505,0.6052871374229862,,,,,,,,,,,,,False,gap_closing
onsite_difference,0.3,0.2,0.1,0.09699844038336158,0.7426742767552909,0.00019137924108598964,3.553726849598288e-05,0.00019137924108598964,3.553726849598288e-05,-0.0,0,0,0,0.00019137924108598964,0,11,23,False,gapped_quantized
onsite_difference,0.35,0.2,0.1,0.09592782212745156,0.7059207978204317,0.0003907701363140249,6.8525477105531e-05,0.0003907701363140249,6.8525477105531e-05,-2.208718528794109e-18,0,0,0,0.0003907701363140249,0,11,23,False,gapped_quantized
onsite_difference,0.4,0.2,0.1,0.09470118168815501,0.6685767990517647,0.00072204758650273,0.0001211068277011401,0.00072204758650273,0.0001211068277011401,4.417437057588218e-18,0,0,0,0.00072204758650273,0,11,23,False,gapped_quantized
onsite_difference,0.45,0.2,0.1,0.0933221830515128,0.6308395348173359,0.0012357559753730092,0.00019966399412620455,0.0012357559753730092,0.00019966399412620455,-0.0,0,0,0,0.0012357559753730092,0,11,23,False,gapped_quantized
onsite_difference,0.5,0.2,0.1,0.0917949402104477,0.5928395742604367,0.001988462421275531,0.0003108649147646588,0.001988462421275531,0.0003108649147646588,-0.0,0,0,0,0.001988462421275531,0,11,23,False,gapped_quantized
onsite_difference,0.55,0.2,0.1,0.09012400376173502,0.5546694434651979,0.0030394013699283364,0.00046140080047305887,0.0030394013699283364,0.00046140080047305887,-8.834874115176436e-18,0,0,0,0.0030394013699283364,0,11,23,False,gapped_quantized
onsite_difference,0.6000000000000001,0.2,0.1,0.0883143465419211,0.5164000574117544,0.004446525599013278,0.0006582648190763243,0.004446525599013278,0.0006582648190763243,-1.3252311172764653e-17,0,0,0,0.004446525599013278,0,11,23,False,gapped_quantized
onsite_difference,0.65,0.2,0.1,0.08637134851328804,0.47809108351462387,0.006262458231050374,0.0009103175213179382,0.006262458231050374,0.0009103175213179382,8.834874115176436e-18,0,0,0,0.006262458231050374,0,11,23,False,gapped_quantized
onsite_difference,0.7,0.2,0.1,0.08430078114081056,0.4397984644425803,0.008530769777854682,0.0012324498927174955,0.008530769777854682,0.0012324498927174955,-0.0,0,0,0,0.008530769777854682,0,11,23,False,gapped_quantized
onsite_difference,0.75,0.2,0.1,0.08210879153688894,0.4015810971910835,0.011282939149438249,0.0016547199285219315,0.011282939149438249,0.0016547199285219315,-0.0,0,0,0,0.011282939149438249,0,11,23,False,gapped_quantized
onsite_difference,0.8,0.2,0.1,0.07980188669535307,0.36350833245933883,0.014536304320554954,0.002241041697982753,0.014536304320554954,0.002241041697982753,-1.766974823035287e-17,0,0,0,0.014536304320554954,0,11,23,False,gapped_quantized
onsite_difference,0.8500000000000001,0.2,0.1,0.07738691819385525,0.3256703273081851,0.01829325018379806,0.0031269826145452735,0.01829325018379806,0.0031269826145452735,-0.0,0,0,0,0.01829325018379806,0,11,23,False,gapped_quantized
onsite_difference,0.9000000000000001,0.2,0.1,0.07487106781995188,0.28819459941400494,0.022541801556225323,0.004598451041061282,0.022541801556225323,0.004598451041061282,-0.0,0,0,0,0.022541801556225323,0,11,23,False,gapped_quantized
onsite_difference,0.95,0.2,0.1,0.07226183467891623,0.25127529368311846,0.027257681617788288,0.007265414998896349,0.027257681617788288,0.007265414998896349,-8.834874115176436e-18,0,0,0,0.027257681617788288,0,11,23,False,gapped_quantized
onsite_difference,1.0,0.2,0.1,0.06956702448202598,0.21522902810392822,0.03240776480550488,0.012474471438017198,0.03240776480550488,0.012474471438017198,8.834874115176436e-18,0,0,0,0.03240776480550488,0,11,23,False,gapped_quantized
onsite_difference,1.05,0.2,0.1,0.06679474190919556,0.18060846562038724,0.03795471233486074,0.02334628198520875,0.03795471233486074,0.02334628198520875,2.6504622345529306e-17,0,0,0,0.03795471233486074,0,11,23,False,gapped_quantized
onsite_difference,1.1,0.2,0.1,0.06395338721341075,0.1484436692749023,0.04386244822969819,0.047339648510453546,0.04386244822969819,0.047339648510453546,-0.0,0,0,0,0.047339648510453546,0,11,23,False,gapped_quantized
onsite_difference,1.1500000000000001,0.2,0.1,0.06105165862199025,0.12074324059362927,0.05010203667691091,0.10121406521257299,0.05010203667691091,0.10121406521257299,-0.0,0,0,0,0.10121406521257299,0,11,23,False,gapped_quantized
onsite_difference,1.2,0.2,0.1,0.05809856264435892,0.10126940416720107,0.05665747915567959,0.21192481335866026,0.05665747915567959,0.21192481335866026,-7.067899292141149e-17,0,0,0,0.21192481335866026,0,11,23,False,gapped_quantized
onsite_difference,1.25,0.2,0.1,0.055103435198153694,0.09523684327938495,0.06353097919458663,0.3855518177434698,0.032626173904969795,0.4836266797846492,1.236882376124701e-16,0,0,0,0.4836266797846492,0,21,49,True,gap_closing_neighborhood
onsite_difference,1.3,0.2,0.1,0.05207597763807154,0.10500778027632646,0.0707473343113059,0.564000159839658,0.038623810950502664,0.78134782431255,1.0,0,1,1,0.21865217568745,0,21,49,True,gapped_quantized
onsite_difference,1.35,0.2,0.1,0.04902631350502161,0.12699815483699142,0.07835731225610452,0.687802066107249,0.045506328882468604,0.8855105094486254,1.0,0,1,1,0.11448949055137458,0,21,49,True,gapped_quantized
onsite_difference,1.4000000000000001,0.2,0.1,0.045965074403134173,0.15613599754586385,0.08644015070291854,0.7571509968897947,0.05340387780949587,0.9217695965620037,1.0,0,1,1,0.07823040343799625,0,21,49,True,gapped_quantized
onsite_difference,1.4500000000000002,0.2,0.1,0.04290352732305501,0.18915221648867753,0.09510568465204221,0.7939291552629525,0.09510568465204221,0.7939291552629525,1.0,0,1,1,0.2060708447370475,0,11,23,False,gapped_quantized
onsite_difference,1.5000000000000002,0.2,0.1,0.03985376168792339,0.22434474321649553,0.10449706131335837,0.8135791849998347,0.10449706131335837,0.8135791849998347,1.0000000000000002,0,1,1,0.18642081500016527,0,11,23,False,gapped_quantized
onsite_difference,1.55,0.2,0.1,0.0368289635268321,0.26083658226600365,0.11479557613093513,0.8240043932558675,0.11479557613093513,0.8240043932558675,1.0,0,1,1,0.1759956067441325,0,11,23,False,gapped_quantized
onsite_difference,1.6,0.2,0.1,0.03384381816070454,0.2981524635150103,0.12622991728906202,0.8291070346798485,0.12622991728906202,0.8291070346798485,1.0,0,1,1,0.17089296532015152,0,11,23,False,gapped_quantized
onsite_difference,1.6500000000000001,0.2,0.1,0.03091510393576415,0.3360186338703623,0.13909313395809783,0.8309312739894948,0.13909313395809783,0.8309312739894948,1.0,0,1,1,0.16906872601050515,0,11,23,False,gapped_quantized
onsite_difference,1.7000000000000002,0.2,0.1,0.028062570389914086,0.3742681621428505,0.1537720090300829,0.8306375463540763,0.1537720090300829,0.8306375463540763,1.0,0,1,1,0.16936245364592373,0,11,23,False,gapped_quantized
