detuning_over_ef,tunnel_mev,exciton_density_cm2,rho_over_rho0,sigma_h_real,sigma_h_imag,sigma_x_real,sigma_x_imag,sigma_t_real,sigma_t_imag,event_count,momentum_residual,collision_min_eigenvalue,condition_number
1.21,0.5,100000000000.0,1.071915991507308,0.932908929359118,0.0,0.020470302776564583,0.0,0.008718328522995648,0.0,640,4.0761352002637875e-21,-1.1018060360344305e-20,4715537058071.487
1.2429166666666667,0.5,100000000000.0,1.0472034236855108,0.9549243035136536,0.0,0.013345365745997132,0.0,0.006129828491290573,0.0,646,2.579210316575465e-21,-1.1775037473436668e-20,2196614286801.297
1.2758333333333334,0.5,100000000000.0,1.0473833699072317,0.9547602422679019,0.0,0.015005820703660603,0.0,0.0050775456018209725,0.0,649,1.8045658777266063e-21,-5.474604640063593e-21,2197098689795.5688
1.30875,0.5,100000000000.0,1.030574432780381,0.9703326302226474,0.0,0.009957363032413182,0.0,0.0032523880644778113,0.0,654,6.230175502091075e-22,-5.86298814642893e-21,2195302482210.3105
1.3416666666666668,0.5,100000000000.0,1.0325730461972489,0.9684544872469714,0.0,0.011790979415375616,0.0,0.002656024801104308,0.0,657,1.103721840699486e-21,-7.815862202797e-21,2193954728037.9343
1.3745833333333335,0.5,100000000000.0,1.019066189666224,0.9812905286628449,0.0,0.006598509751746776,0.0,0.001838990771612318,0.0,661,4.846138393601351e-22,-1.8217708496477594e-21,2194278919181.2317
1.4075,0.5,100000000000.0,1.0212132524168993,0.9792274019489131,0.0,0.007902228277396813,0.0,0.0016575539925093514,0.0,663,1.3866788739628601e-21,-2.1420055607769673e-21,3263134009266.5483
1.4404166666666667,0.5,100000000000.0,1.0127093657157207,0.9874501351068888,0.0,0.0048567263339858195,0.0,0.0009469775685163681,0.0,665,3.9771458968705756e-22,-1.8409861019309624e-21,2187681014533.2603
1.4733333333333334,0.5,100000000000.0,1.0158034764464752,0.9844423879097565,0.0,0.006494128501898191,0.0,0.0008579585223843859,0.0,670,8.342227702967546e-22,-9.292393612518278e-22,2190734756664.8123
1.50625,0.5,100000000000.0,1.007828209335492,0.9922325955326716,0.0,0.003121892831805791,0.0,0.0005093797615537197,0.0,672,2.0105608519051338e-22,-1.0250324079634531e-21,2192574861459.432
1.5391666666666668,0.5,100000000000.0,1.008097575400345,0.9919674686280947,0.0,0.0032546445034035885,0.0,0.0005092542820487399,0.0,674,2.6133285345459885e-22,-1.0048292733188115e-21,2191993889896.642
1.5720833333333335,0.5,100000000000.0,1.00474597593418,0.9952764419586083,0.0,0.0020037665437971086,0.0,0.00024018181164639894,0.0,677,1.27521941699997e-22,-1.0732859176556659e-21,2318241726664.0186
1.605,0.5,100000000000.0,1.0072657633795488,0.9927866471355375,0.0,0.0032392572331409212,0.0,0.00024645295979589953,0.0,681,9.656474383313498e-22,-1.403828631859193e-21,3318048240368.1924
1.6379166666666667,0.5,100000000000.0,1.0027845138370874,0.9972232181503953,0.0,0.0011954435933587816,0.0,0.00013013838137882635,0.0,685,6.405777421400382e-23,-2.5005427284236295e-22,4352704561252.7183
1.6708333333333334,0.5,100000000000.0,1.003194829499525,0.9968153449304371,0.0,0.0014028110704296614,0.0,0.00012785113651020812,0.0,688,1.987145388258641e-22,-3.0994317059747526e-22,2184574214379.0083
1.70375,0.5,100000000000.0,1.0015428573752034,0.998459519366703,0.0,0.0006770784869294984,0.0,6.361471344725076e-05,0.0,691,3.500221304182994e-23,-2.215849868890666e-22,2136232564761.7988
1.7366666666666668,0.5,100000000000.0,1.001714496588632,0.9982884378787861,0.0,0.0007648595350791851,0.0,6.21211773588879e-05,0.0,693,2.2714680479551355e-22,-9.453141249067628e-22,2153295610309.1592
1.7695833333333335,0.5,100000000000.0,1.0009240643942403,0.999076788712439,0.0,0.0004177412744986288,0.0,3.0749739898687654e-05,0.0,696,2.1205830380552383e-23,-1.779849834850102e-22,2356264369383.743
1.8025000000000002,0.5,100000000000.0,1.0012999880127669,0.9987016997619795,0.0,0.0006090010665902985,0.0,2.827286201393464e-05,0.0,696,6.947455487383347e-23,-1.0994948593281715e-22,3386393934487.7725
1.8354166666666667,0.5,100000000000.0,1.0004753676070617,0.9995248582599302,0.0,0.0002180324881220605,0.0,1.4532415006881842e-05,0.0,697,1.2242319886098567e-23,-2.9500769912236946e-23,4291857664936.417
1.8683333333333334,0.5,100000000000.0,1.0005722805209263,0.9994280467967509,0.0,0.0002696662596932094,0.0,1.2380388214043765e-05,0.0,700,1.850536199332e-23,-7.976381822007385e-23,2089226236631.5771
1.90125,0.5,100000000000.0,1.0002704156389606,0.9997296574658885,0.0,0.00012383519612802794,0.0,9.064207588202313e-06,0.0,702,9.86815962206344e-24,-2.8578078942075905e-23,2106331842940.8008
