x,y,raw_aggregate_density,raw_density_over_max,reflection_symmetrized_density,symmetrized_density_over_max
4,29,0.09767018403681411,0.0025847603706148463,0.09767008940283559,0.002639735723520979
5,29,0.1001752028998585,0.002651053616078572,0.10015450878081651,0.002706882284196428
6,29,0.10313972492031152,0.0027295072312923394,0.10313961276381314,0.002787560879562925
7,29,0.10720474526666546,0.002837084621471499,0.10716388596046035,0.0028963251674155085
8,29,0.1119126357740656,0.0029616750369880194,0.11191215448193409,0.0030246569229984053
9,29,0.11817589214015681,0.003127426919261239,0.11810880831613978,0.0031921342806260837
10,29,0.12543106146959884,0.0033194289549876555,0.12543109209451755,0.0033900341104073474
11,29,0.13503647192085552,0.0035736281716957944,0.134931812893583,0.00364681069621606
12,29,0.14631024901528755,0.003871979327150255,0.1463093773496454,0.003954312855013699
13,29,0.161392389388623,0.004271115656476243,0.16122307121109392,0.004357386208344512
14,29,0.17951199654585445,0.004750636023648561,0.17951063385757032,0.004851645328093308
15,29,0.20437600908935516,0.005408641482639886,0.20407741832331058,0.005515613375657848
16,29,0.23533111532026987,0.006227842681479472,0.23533377099151895,0.006360380808857765
17,29,0.27972627883784446,0.007402723843410533,0.2790968815147797,0.007543169182729104
18,29,0.3377638372345612,0.00893863966491175,0.3377629955159647,0.009128741980255246
19,29,0.42641458635531754,0.011284708175095795,0.42489466278929294,0.011483655098054345
20,29,0.5502965533415028,0.014563141630069278,0.5503394722168528,0.014874059947695008
21,29,0.7574007978848907,0.02004398360002095,0.7534651555053881,0.02036395071998489
22,29,1.0801181218139198,0.028584429776391623,1.080555491938061,0.02920424206382342
23,29,1.6845072393987468,0.04457908623137801,1.674861624660258,0.04526659174371259
24,29,2.7678175613963836,0.07324799493663937,2.7703900469464973,0.0748755081491644
25,29,5.1880117401155195,0.13729642552000024,5.168604264032469,0.13969219645367967
26,29,9.96247873434547,0.2636487325131212,9.99240865060218,0.27006546467079245
27,29,14.223933608014724,0.3764245994498727,14.327906747855856,0.38724124772321894
-26,30,12.803570155400747,0.3388358593405832,13.119710388878929,0.35458724782090306
-25,30,9.38185189354681,0.2482829249945647,9.424007277794448,0.2547032445860899
-24,30,5.0403996379742395,0.13338999373019098,5.067828415390819,0.13696852117751285
-23,30,2.74305929418555,0.07259278794012615,2.7475904490074177,0.07425930196434691
-22,30,1.6631068672747775,0.044012743141847256,1.6681826857369937,0.04508607963628287
-21,30,1.0858128850058615,0.02873513695856524,1.086209375513963,0.029357049935129654
-20,30,0.7617650852852461,0.020159480844442655,0.7621600825480586,0.020598949066646378
-19,30,0.5600855411261446,0.014822199068566966,0.5601709767315964,0.015139776646043534
-18,30,0.43431801344875837,0.011493865814600901,0.43427894257081434,0.011737284625069793
-17,30,0.3466943853524531,0.00917497920999027,0.34668946910240966,0.009369998350094517
-16,30,0.28737671424018346,0.007605186267751428,0.2873849706832492,0.007767171896267125
-15,30,0.243146632718017,0.0064346738638383924,0.24314983958831032,0.006571626192358373
-14,30,0.2113552608842422,0.005593341589779717,0.21137974680036067,0.005712973872239865
-13,30,0.18639245143468366,0.004932721552654481,0.1863886562308611,0.005037538076599638
-12,30,0.16768135783022245,0.0044375479874910655,0.16771393194567696,0.0045328151145965535
-11,30,0.1524778265581504,0.00403519914876416,0.1524771703718079,0.004121010189637141
-10,30,0.14082886346279397,0.003726919007136873,0.14086544449318625,0.0038071793351663473
-9,30,0.1311582887616034,0.003470995272629664,0.13115787667408246,0.003544812281780125
-8,30,0.12370018710683943,0.003273622801313496,0.1237357584456635,0.0033442142199625936
-7,30,0.11743920490385769,0.003107931102879793,0.1174383011573568,0.0031740124409642416
-6,30,0.11267657389229421,0.0029818920253460546,0.11271294025855402,0.0030462998111574673
-5,30,0.10870268222785716,0.0028767262801122585,0.10870270524369888,0.002937914934137784
-4,30,0.10583541623399195,0.0028008464649358997,0.1058721960120658,0.002861414580957183
-3,30,0.10352886010454211,0.0027398053710258738,0.10352835931410449,0.0027980675573234743
-2,30,0.1021033893764686,0.002702081471109732,0.1021405790595982,0.0027605599320451976
-1,30,0.10111794663630048,0.0026760025467438622,0.10111776984624174,0.002732916402328463
0,30,0.10091313575068538,0.0026705823966148433,0.10095248561073233,0.002728449254774113
1,30,0.10111794415530265,0.0026760024810863134,0.10111776984624173,0.0027329164023284624
2,30,0.10209850535352548,0.0027019522194954644,0.1021405790595982,0.0027605599320451976
3,30,0.10352886049502122,0.002739805381359579,0.10352835931410449,0.0027980675573234743
4,30,0.10582421401863287,0.002800550007602387,0.1058721960120658,0.002861414580957183
5,30,0.10870267683878224,0.0028767261374948623,0.10870270524369888,0.002937914934137784
6,30,0.11265649709937665,0.002981360709681872,0.11271294025855402,0.0030462998111574673
7,30,0.11743919343252947,0.0031079307993006114,0.1174383011573568,0.0031740124409642416
8,30,0.12366841478482687,0.0032727819731771476,0.1237357584456635,0.0033442142199625936
9,30,0.13115828635261925,0.0034709952088778973,0.13115787667408246,0.003544812281780125
10,30,0.1407848130499499,0.0037257532495154305,0.14086544449318625,0.0038071793351663473
11,30,0.15247770185654136,0.004035195848639557,0.1524771703718079,0.004121010189637141
12,30,0.1676322139305327,0.004436247434966995,0.16771393194567696,0.0045328151145965535
13,30,0.18639271137960514,0.004932728431881118,0.1863886562308611,0.005037538076599638
14,30,0.21132901255494627,0.005592646949526624,0.21137974680036067,0.005712973872239865
15,30,0.243146373823669,0.006434667012414312,0.24314983958831035,0.006571626192358374
16,30,0.287467635620229,0.007607592426624792,0.28738497068324914,0.007767171896267124
17,30,0.3466949826226948,0.009174995016251583,0.34668946910240966,0.009369998350094517
18,30,0.4347957982659269,0.011506509993305769,0.43427894257081434,0.011737284625069793
19,30,0.5601428109529856,0.014823714667009933,0.5601709767315964,0.015139776646043534
20,30,0.7637605942299719,0.020212290332726104,0.7621600825480586,0.020598949066646378
21,30,1.08569130193088,0.028731919363379477,1.086209375513963,0.029357049935129654
22,30,1.671385379087584,0.04423182708719279,1.6681826857369937,0.04508607963628287
23,30,2.7439296726787044,0.07261582178467887,2.747590449007418,0.07425930196434692
24,30,5.071524630322704,0.13421369082415446,5.067828415390819,0.13696852117751285
25,30,9.384735237426982,0.24835923029766022,9.424007277794448,0.2547032445860899
26,30,12.953382957974075,0.3428005308411132,13.119710388878929,0.35458724782090306
-25,31,11.752149272180132,0.31101087816965434,12.01360862824122,0.32469256512677586
-24,31,8.80467113707239,0.23300831523797555,8.847842448135214,0.23913120105887567
-23,31,4.925085491368884,0.13033830053173803,4.941956080474364,0.13356656156926952
-22,31,2.7140530297131615,0.0718251612212132,2.719571388107874,0.07350202902184987
-21,31,1.6538845861802396,0.04376868312563138,1.6574811950419375,0.0447968497660597
-20,31,1.0899101416636294,0.028843567455975223,1.0903535688511083,0.029469055312253047
-19,31,0.7701146067077305,0.020380444000182206,0.7698662361790694,0.02080722377137015
-18,31,0.5693826674844547,0.015068239802579516,0.5694272339469605,0.015389946099014116
-17,31,0.44363534383897363,0.011740441231551855,0.4430920074637992,0.01197547589093184
-16,31,0.3552310734940739,0.009400895577634691,0.35523339605138243,0.00960091560761166
-15,31,0.29569228633999345,0.007825250982838663,0.29538088389888995,0.00798327795172946
-14,31,0.2507412360774181,0.006635658739494194,0.2507393465598403,0.006776748280391166
-13,31,0.21861054306854177,0.005785346612116288,0.2184484455256001,0.005904020042647896
-12,31,0.19308602371732184,0.0051098613885688675,0.19307949105774838,0.005218371695373821
-11,31,0.17405414490146384,0.004606198508983916,0.1739984128016031,0.004702666178730937
-10,31,0.1585401432914288,0.00419563333040128,0.1585403032915884,0.004284878869011319
-9,31,0.14669007361881425,0.003882031070091686,0.14668425959075082,0.003964444821207343
-8,31,0.13690554557277484,0.0036230916548752722,0.13690354796365595,0.003700100905466545
-7,31,0.1293588348998472,0.00342337421942407,0.1293715753944339,0.003496533803387305
-6,31,0.12313458781423568,0.003258654685387566,0.12313378461141457,0.0033279446348254507
-5,31,0.1184227621968986,0.0031339601304520475,0.11844352932093208,0.003201180806529411
-4,31,0.11464643881040289,0.0030340228657453373,0.11464615608918895,0.0030985489584717026
-3,31,0.11199059616727736,0.0029637381941002793,0.1120095753864821,0.003027289923986993
-2,31,0.11003881435716964,0.002912085908148286,0.11003779939429978,0.002973998608732053
-1,31,0.1090055883087048,0.002884742438180499,0.10902068526196823,0.0029465090003327012
0,31,0.1085717598539732,0.0028732615281310955,0.10857178812915506,0.002934376628949424
1,31,0.10901290281452024,0.0028849360105070877,0.10902068526196823,0.0029465090003327012
2,31,0.11003881573303056,0.0029120859445593036,0.11003779939429978,0.002973998608732053
3,31,0.11201271176932247,0.002964323465156152,0.1120095753864821,0.003027289923986993
4,31,0.11464642839410537,0.0030340225900866674,0.11464615608918896,0.0030985489584717026
5,31,0.11845945243029656,0.003134931107032166,0.11844352932093208,0.003201180806529411
6,31,0.12313458708043468,0.003258654665968131,0.12313378461141457,0.0033279446348254507
