radius,site_count,edge_coordinate,x_over_L,probability_over_max,gaussian_fit
48,4705,42.0,0.48456986022048737,1.614228816766214e-17,1.3776208761859137e-13
48,4705,44.0,0.5054031935538207,6.457797547810774e-19,1.0199862770348884e-14
48,4705,46.0,0.526236526887154,5.6326446873259465e-21,6.76824687453088e-16
48,4705,48.0,0.5470698602204874,1.2353693027842041e-22,4.025087290737455e-17
52,5513,-52.0,-0.44846368913135054,7.14253377146568e-32,1.479654121941222e-12
52,5513,-50.0,-0.4292329199005813,7.2677909853371895e-12,1.4580723996829556e-11
52,5513,-48.0,-0.4100021506698121,1.2231296598494162e-10,1.2997403517372272e-10
52,5513,-46.0,-0.3907713814390429,1.3968106197102381e-09,1.0480759312202581e-09
52,5513,-44.0,-0.3715406122082736,1.2415284309767491e-08,7.64517666072592e-09
52,5513,-42.0,-0.3523098429775044,8.844094954531661e-08,5.044764941139069e-08
52,5513,-40.0,-0.3330790737467352,5.27823389678122e-07,3.011292742731e-07
52,5513,-38.0,-0.31384830451596596,2.7110510834074384e-06,1.6260116466578834e-06
52,5513,-36.0,-0.2946175352851967,1.2187611130564335e-05,7.942422006047867e-06
52,5513,-34.0,-0.27538676605442747,4.8596700668528975e-05,3.5094648570513626e-05
52,5513,-32.0,-0.2561559968236582,0.00017362238732875366,0.00014027732294102262
52,5513,-30.0,-0.23692522759288898,0.0005601590402929031,0.0005072156823487714
52,5513,-28.0,-0.21769445836211976,0.0016422511054695304,0.0016590386690268364
52,5513,-26.0,-0.1984636891313505,0.004396928663582948,0.004908841131161071
52,5513,-24.0,-0.1792329199005813,0.010793030698996847,0.013138932374912489
52,5513,-22.0,-0.16000215066981205,0.024363878305384154,0.031812647265563425
52,5513,-20.0,-0.14077138143904283,0.050693187887756896,0.06967840089092385
52,5513,-18.0,-0.1215406122082736,0.09737364412865548,0.1380559638635312
52,5513,-16.0,-0.10230984297750437,0.17283366820800872,0.24744050992787786
52,5513,-14.0,-0.08307907374673514,0.2835589269633192,0.40118534838512254
52,5513,-12.0,-0.0638483045159659,0.429878892341091,0.5884071724781413
52,5513,-10.0,-0.04461753528519667,0.6016112039604271,0.7806735843649263
52,5513,-8.0,-0.025386766054427443,0.7759519492416644,0.9369569631795666
52,5513,-6.0,-0.0061559968236582115,0.9201580628117964,1.0172517228629745
52,5513,-4.0,0.01307477240711102,1.0,0.9990698599341246
52,5513,-2.0,0.03230554163788025,0.9918401081594446,0.8876094408354583
52,5513,0.0,0.05153631086864948,0.89311966433281,0.7133564635922481
52,5513,2.0,0.0707670800994187,0.7253852348446541,0.5186207880441823
52,5513,4.0,0.08999784933018794,0.5271224776379625,0.34107655917677426
52,5513,6.0,0.10922861856095717,0.3393139919087893,0.20291420822364853
52,5513,8.0,0.12845938779172641,0.19109570835859396,0.10920227213685117
52,5513,10.0,0.14769015702249563,0.0926999843492246,0.05316300533690978
52,5513,12.0,0.16692092625326488,0.037962464066723704,0.023412403771935583
52,5513,14.0,0.1861516954840341,0.012774802512206015,0.009326981581593485
52,5513,16.0,0.20538246471480331,0.0033983213507490263,0.0033612039495555775
52,5513,18.0,0.22461323394557256,0.0006718322932684985,0.0010957393128380505
52,5513,20.0,0.24384400317634178,8.77890428123766e-05,0.00032313072431696153
52,5513,22.0,0.263074772407111,5.595451951363651e-06,8.620012527525291e-05
52,5513,24.0,0.28230554163788024,5.9347866033575724e-08,2.0801572756029693e-05
52,5513,26.0,0.30153631086864946,9.056595190225126e-08,4.540911936797986e-06
52,5513,28.0,0.3207670800994187,3.051107333626504e-08,8.967029929193115e-07
52,5513,30.0,0.3399978493301879,2.9817606340234127e-09,1.6018166046243648e-07
