delta,radius,site_count,inverse_boundary_length,realization,seed,probe_index,real_E,imag_E,finite_potential,geometry_potential,amoeba_potential,absolute_difference
0.0,50,5101,0.02,0,3918435833,18,0.07999999999999999,0.09999999999999998,0.12009095283548632,0.04726181348298877,0.31068284921704975,0.07282913935249755
0.0,50,5101,0.02,0,3918435833,19,0.16,0.09999999999999998,0.12437185923396508,0.04733393374235685,0.3115241219099534,0.07703792549160823
0.0,50,5101,0.02,0,3918435833,20,-0.16,0.18,0.14587122248301373,0.08515026247053452,0.31522304919731525,0.060720960012479216
0.0,50,5101,0.02,0,3918435833,21,-0.08,0.18,0.14339616494919794,0.08502077710574574,0.31434829377432116,0.0583753878434522
0.0,50,5101,0.02,0,3918435833,22,0.0,0.18,0.14231374743322886,0.08497767931497673,0.31454678782337747,0.057336068118252134
0.0,50,5101,0.02,0,3918435833,23,0.07999999999999999,0.18,0.1433961649342679,0.08502077710574574,0.3143482937743255,0.05837538782852217
0.0,50,5101,0.02,0,3918435833,24,0.16,0.18,0.14587122248301373,0.0851502624705345,0.31522304919731536,0.06072096001247923
0.0,55,6161,0.01818181818181818,0,3922379704,0,-0.16,-0.14,0.13639386425557576,0.06625056070992372,0.31301879122762066,0.07014330354565204
0.0,55,6161,0.01818181818181818,0,3922379704,1,-0.08,-0.14,0.1333438249233537,0.06614970249029017,0.3121849580039453,0.06719412243306352
0.0,55,6161,0.01818181818181818,0,3922379704,2,0.0,-0.14,0.13178154029033587,0.06611613254671064,0.312906981203851,0.06566540774362523
0.0,55,6161,0.01818181818181818,0,3922379704,3,0.07999999999999999,-0.14,0.1333438249607031,0.06614970249029024,0.31218338365071446,0.06719412247041286
0.0,55,6161,0.01818181818181818,0,3922379704,4,0.16,-0.14,0.13639386425557576,0.06625056070992372,0.31301879122765136,0.07014330354565204
0.0,55,6161,0.01818181818181818,0,3922379704,5,-0.16,-0.06000000000000001,0.11652164753421312,0.03149805697907505,0.3110250093502154,0.08502359055513808
0.0,55,6161,0.01818181818181818,0,3922379704,6,-0.08,-0.06000000000000001,0.11127430462659406,0.028361901098260117,0.31018502348809524,0.08291240352833394
0.0,55,6161,0.01818181818181818,0,3922379704,7,0.0,-0.06000000000000001,0.10509862622217676,0.028347487609051127,0.3108631341486675,0.07675113861312563
0.0,55,6161,0.01818181818181818,0,3922379704,8,0.07999999999999999,-0.06000000000000001,0.11127430438393242,0.028361901098260114,0.3100553111750942,0.0829124032856723
0.0,55,6161,0.01818181818181818,0,3922379704,9,0.16,-0.06000000000000001,0.11652164753421312,0.03149805697907504,0.31102500935021676,0.08502359055513808
0.0,55,6161,0.01818181818181818,0,3922379704,10,-0.16,0.01999999999999999,0.1084632087237155,0.025533102161761113,0.31053033970976895,0.08293010656195438
0.0,55,6161,0.01818181818181818,0,3922379704,11,-0.08,0.01999999999999999,0.1029174569028256,0.01381153579883153,0.3102205615316422,0.08910592110399407
0.0,55,6161,0.01818181818181818,0,3922379704,12,0.0,0.01999999999999999,0.08239448282957686,0.009449963212444772,0.31041296635172294,0.07294451961713208
0.0,55,6161,0.01818181818181818,0,3922379704,13,0.07999999999999999,0.01999999999999999,0.10291745955943427,0.01381153579883148,0.3102205615316422,0.08910592376060278
0.0,55,6161,0.01818181818181818,0,3922379704,14,0.16,0.01999999999999999,0.1084632087237155,0.025533102161761127,0.3105303397097842,0.08293010656195438
0.0,55,6161,0.01818181818181818,0,3922379704,15,-0.16,0.09999999999999998,0.12611677179528355,0.047333933742356823,0.3115241219099743,0.07878283805292673
0.0,55,6161,0.01818181818181818,0,3922379704,16,-0.08,0.09999999999999998,0.1220228757270912,0.047261813482988746,0.3102874853590251,0.07476106224410245
0.0,55,6161,0.01818181818181818,0,3922379704,17,0.0,0.09999999999999998,0.1192626357914639,0.0472378085554786,0.310321646783417,0.0720248272359853
