epsilon,epsilon_out,success_probability,identity
0.19325,0.31117606792305763,0.0813142890914743,0.19325
0.1935,0.3119694537096234,0.0811919698804641,0.1935
0.19375,0.3127615521090127,0.08107034707605895,0.19375
0.194,0.31355235083883326,0.08094941727701407,0.194
0.19425,0.3143418377013093,0.08082917709593901,0.19425
0.1945,0.3151300005838335,0.08070962315925248,0.1945
0.19475,0.31591682745950933,0.08059075210713723,0.19475
0.195,0.3167023063876821,0.08047256059349508,0.195
0.19525,0.3174864255144591,0.08035504528590223,0.19525
0.1955,0.3182691730732209,0.08023820286556434,0.1955
0.19575,0.3190505373851205,0.08012203002727192,0.19575
0.196,0.31983050685957326,0.08000652347935583,0.196
0.19625,0.3206090699947341,0.07989167994364298,0.19625
0.1965,0.3213862153779667,0.07977749615541187,0.1965
0.19675,0.32216193168630075,0.07966396886334845,0.19675
0.197,0.32293620768687864,0.079551094829502,0.197
0.19725,0.32370903223739117,0.07943887082924125,0.19725
0.1975,0.32448039428650327,0.0793272936512105,0.1975
0.19775,0.32525028287426944,0.07921636009728569,0.19775
0.198,0.32601868713253723,0.07910606698253093,0.198
0.19825,0.3267855962853407,0.07899641113515493,0.19825
0.1985,0.3275509996492837,0.07888738939646751,0.1985
0.19875,0.3283148866339117,0.0787789986208363,0.19875
0.199,0.32907724674207395,0.07867123567564348,0.199
0.19925,0.3298380695702732,0.07856409744124276,0.19925
0.1995,0.33059734480900654,0.07845758081091635,0.1995
0.19975,0.33135506224309547,0.07835168269083193,0.19975
0.2,0.332111211752004,0.0782464,0.2
0.20025,0.33286578331014705,0.0781417296702312,0.20025
0.2005,0.33361876698718834,0.07803766864609367,0.2005
0.20075,0.3343701529483277,0.07793421388487057,0.20075
0.201,0.33511993145457747,0.07783136235651772,0.201
0.20125,0.33586809286302766,0.07772911104362143,0.20125
0.2015,0.3366146276271022,0.07762745694135625,0.2015
0.20175,0.33735952629680394,0.07752639705744294,0.20175
0.202,0.3381027795189487,0.07742592841210647,0.202
0.20225,0.33884437803738887,0.07732604803803436,0.20225
0.2025,0.33958431269322736,0.0772267529803348,0.2025
0.20275,0.3403225744250208,0.07712804029649502,0.20275
0.203,0.341059154268972,0.0770299070563398,0.203
0.20325000000000001,0.34179404335911223,0.0769323503419901,0.20325000000000001
