geometry,real_energy,imag_energy,potential,density_raw,density_clipped,phi_cylinder_1,phi_cylinder_2,mu_1,mu_2
rhombus,-1.3999999999999999,0,0.62891807033897829,0.033104997202957558,0.033104997202957558,0.63169381641622335,0.62891807033897829,0.14382666133412533,-0.33412041954069238
rhombus,-0.80000000000000004,0,0.47254712461721993,0.037336421430464457,0.037336421430464457,0.47254712461721993,0.50689036915491736,0.14358845549258198,-0.34440777849203491
rhombus,-0.20000000000000018,0,0.36912972229779939,0.038646385944922527,0.038646385944922527,0.36912972229779939,0.47211530057257839,0.14384167432844056,-0.40663374063828206
rhombus,0.39999999999999991,0,0.30652130848673542,0.19727749329352007,0.19727749329352007,0.30652130848673542,0.47869303946385244,0.14371878283730488,-0.45723962772503346
rhombus,1,0,0.38935947120581149,0.17947247377914927,0.17947247377914927,0.38935947120581149,0.54427339106635908,0.14414140052029814,-0.44777797068225916
rhombus,1.5999999999999996,0,0.51601675888613363,0.17421984839495552,0.17421984839495552,0.51601675888613363,0.61439626939088832,0.14388335416334344,-0.50865481984522964
rhombus,2.2000000000000002,0,0.67685295261392242,0.13632402489759785,0.13632402489759785,0.67685295261392242,0.73086464571499832,0.14402470292612671,-0.44592485563922785
rhombus,2.7999999999999998,0,0.84023155849285969,0.12558851947500971,0.12558851947500971,0.84023155849285969,0.85903015974914265,0.14396906469525692,-0.52532208874471775
rhombus,3.3999999999999995,0,1.0114960264574604,0.15622180858497764,0.15622180858497764,1.0258552762792983,1.0114960264574604,0.14404543012268473,-0.51374901314469057
rhombus,4,0,1.2783581325669588,0,0,1.2783581325669588,1.278367215326663,0.14385290143315135,-0.49438789416800261
rhombus,-2,0.59999999999999964,0.84911025963009523,0,0,0.84911281042692033,0.84911025963009523,0.14354272752747363,-0.39620937575407478
rhombus,-1.3999999999999999,0.59999999999999964,0.63927622453548028,0.034979942345257156,0.034979942345257156,0.64102859727941175,0.63927622453548028,0.14378945986636871,-0.28323187836106106
rhombus,-0.80000000000000004,0.59999999999999964,0.48829685073587198,0.043242765651544814,0.043242765651544814,0.48829685073587198,0.52234877282135883,0.14369506316502831,-0.36226653817951637
rhombus,-0.20000000000000018,0.59999999999999964,0.39243326082567198,0.13878307690280903,0.13878307690280903,0.39243326082567198,0.48816902897849934,0.14355823569383624,-0.41363266530458997
