geometry,real_energy,imaginary_energy
square,-0.218364852557184,16.530575716527707
square,0.05332422735491694,16.919715868229893
square,-0.02526494247961613,16.42676214119328
square,-0.02520177248418419,16.427073216940144
square,0.053324227286731106,-16.919715869312423
square,-0.20002128649205428,-16.733709186837235
square,-0.18119567585898924,-16.929794132024412
square,0.07500946805148295,-16.723608876980443
square,-0.18119567596504177,16.929794132075745
square,0.02290750845876829,16.475104437571197
square,-0.08483005244354534,16.427966240747487
square,-0.08493882966534187,16.428157255116243
square,-0.20002128649656178,16.73370918683976
square,-0.060767574181646085,-16.459735913676308
square,-0.05451526599612136,-16.47189703223285
square,-0.08964398608448818,-16.953602270707375
square,0.07500946737801756,16.72360887797337
square,-0.003950031359463481,16.8648226992145
square,-0.11763875770438503,16.872261452491667
square,-0.08964398570809494,16.953602270850602
square,-0.017613878082175988,16.617526214217857
square,-0.06076757412174412,16.45973591265017
square,-0.05451526587779221,16.471897032333207
square,-0.117638757703147,-16.872261452454257
square,-0.0632104617744879,-16.89090025725559
square,-0.05891273283254668,-16.482744519923166
square,-0.017613878131421658,-16.6175262135516
square,-0.015561742574319663,-16.60912975737546
square,-0.0992957524357621,-16.610543775942407
square,-0.09328304968257647,-16.615813001993434
square,-0.011079614500046998,-16.682473544703537
square,-0.032052628202357006,-16.864760628516674
square,-0.015561746261667758,16.609129754951475
square,-0.0320526250273068,16.864760630257212
square,-0.0630425760111781,-16.52466250194345
square,-0.04991497008012088,-16.524219319812914
square,-0.12003389365868848,-16.689952423506053
square,-0.026474009463571955,-16.69481275071885
square,-0.0110796139598535,16.68247354397028
square,-0.058912735555243366,16.48274452245954
square,-0.1200338933011754,16.6899524238348
square,-0.09929575239548065,16.61054377594624
square,-0.06304257617527749,16.52466250191105
square,-0.09328305051391417,16.61581300220477
square,-0.04991497013720456,16.52421931972438
square,-0.08851013456742036,-16.862029251482202
square,-0.08794364066399418,-16.695941155754273
square,-0.026287148700569918,-16.695218398410265
square,-0.055512321704855615,-16.748006941586308
