n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
12,rescue,2.154434690031882,0.9983170913374814,5
12,rescue,4.6415888336127775,0.9990232744412152,5
12,rescue,5.274997063702617,0.9991615416830488,5
12,rescue,5.994842503189409,0.9992995672095191,5
12,rescue,6.812920690579611,0.9994324992727247,5
12,rescue,7.742636826811269,0.9995551887489288,5
12,rescue,8.79922543569107,0.9996630979323493,5
12,rescue,10.0,0.9997531939304573,5
12,dephasing,0.001,0.10691309964365056,5
12,dephasing,0.0021544346900318843,0.10850498550139878,5
12,dephasing,0.004641588833612777,0.1119046286041345,5
12,dephasing,0.01,0.11909249200524581,5
12,dephasing,0.021544346900318832,0.13397057385594885,5
12,dephasing,0.046415888336127774,0.1634391487159612,5
12,dephasing,0.1,0.21690339671559905,5
12,dephasing,0.21544346900318823,0.29950455237582596,5
12,dephasing,0.46415888336127775,0.39880901590035894,5
12,dephasing,1.0,0.4868536743841462,5
12,dephasing,2.154434690031882,0.545668174984519,5
12,dephasing,4.6415888336127775,0.5761150015030829,5
12,dephasing,5.274997063702617,0.5789627192213246,5
12,dephasing,5.994842503189409,0.5812653924789114,5
12,dephasing,6.812920690579611,0.5830490407608611,5
12,dephasing,7.742636826811269,0.5843342538371509,5
12,dephasing,8.79922543569107,0.5851355801205572,5
12,dephasing,10.0,0.5854611813347546,5
16,rescue,0.001,0.091842455979839,5
16,rescue,0.0021544346900318843,0.11316318428148364,5
16,rescue,0.004641588833612777,0.15734715582822761,5
16,rescue,0.01,0.24492697999161459,5
16,rescue,0.021544346900318832,0.4028581862811845,5
16,rescue,0.046415888336127774,0.6365314628292641,5
16,rescue,0.1,0.868492198253724,5
16,rescue,0.21544346900318823,0.9783339668502595,5
16,rescue,0.46415888336127775,0.9957530673327721,5
16,rescue,1.0,0.9976018986243329,5
16,rescue,2.154434690031882,0.9981953066635201,5
16,rescue,4.6415888336127775,0.9988251637264174,5
16,rescue,5.274997063702617,0.9989615900355606,5
16,rescue,5.994842503189409,0.9991041353934943,5
16,rescue,6.812920690579611,0.9992485118090846,5
16,rescue,7.742636826811269,0.9993892268845794,5
16,rescue,8.79922543569107,0.9995203274808301,5
16,rescue,10.0,0.99963644526494,5
16,dephasing,0.001,0.07405431359884927,5
16,dephasing,0.0021544346900318843,0.07533049852627499,5
16,dephasing,0.004641588833612777,0.07805690068822531,5
16,dephasing,0.01,0.08382578194479824,5
16,dephasing,0.021544346900318832,0.09578678499032198,5
16,dephasing,0.046415888336127774,0.11956501648248748,5
16,dephasing,0.1,0.16305973659591413,5
16,dephasing,0.21544346900318823,0.23147185198291384,5
16,dephasing,0.46415888336127775,0.31659680763594955,5
16,dephasing,1.0,0.39582310213374405,5
16,dephasing,2.154434690031882,0.4514090925493054,5
16,dephasing,4.6415888336127775,0.4817630223939381,5
16,dephasing,5.274997063702617,0.4847786380028315,5
16,dephasing,5.994842503189409,0.48729353903799144,5
16,dephasing,6.812920690579611,0.48933455158726336,5
16,dephasing,7.742636826811269,0.4909248253307091,5
16,dephasing,8.79922543569107,0.4920830784736762,5
16,dephasing,10.0,0.49282302331082156,5
20,rescue,0.001,0.07579871693967463,5
20,rescue,0.0021544346900318843,0.09765245258751844,5
20,rescue,0.004641588833612777,0.1429307910256458,5
20,rescue,0.01,0.23263623587640994,5
20,rescue,0.021544346900318832,0.39423123731226956,5
20,rescue,0.046415888336127774,0.632785992302564,5
20,rescue,0.1,0.8684374390964363,5
20,rescue,0.21544346900318823,0.978829085349548,5
20,rescue,0.46415888336127775,0.9959013519865809,5
20,rescue,1.0,0.9976488311384731,5
20,rescue,2.154434690031882,0.9981836225289218,5
20,rescue,4.6415888336127775,0.9987250546025498,5
20,rescue,5.274997063702617,0.9988483278772732,5
20,rescue,5.994842503189409,0.998981341069951,5
20,rescue,6.812920690579611,0.9991212701667962,5
20,rescue,7.742636826811269,0.9992636614062602,5
20,rescue,8.79922543569107,0.9994027819950138,5
20,rescue,10.0,0.9995324178702495,5
20,dephasing,0.001,0.05731102934375416,5
20,dephasing,0.0021544346900318843,0.05832993370195279,5
20,dephasing,0.004641588833612777,0.06050878374470327,5
20,dephasing,0.01,0.06512847605107008,5
20,dephasing,0.021544346900318832,0.07474732959558285,5
20,dephasing,0.046415888336127774,0.09403078411369618,5
20,dephasing,0.1,0.12984999686752902,5
20,dephasing,0.21544346900318823,0.18756530700942003,5
20,dephasing,0.46415888336127775,0.26159944631911464,5
20,dephasing,1.0,0.33265676582881243,5
20,dephasing,2.154434690031882,0.38392643726208164,5
20,dephasing,4.6415888336127775,0.4128711912781139,5
20,dephasing,5.274997063702617,0.41585572685577255,5
20,dephasing,5.994842503189409,0.4183881203902671,5
20,dephasing,6.812920690579611,0.4204935852520172,5
20,dephasing,7.742636826811269,0.4221948539074941,5
20,dephasing,8.79922543569107,0.4235114767816352,5
20,dephasing,10.0,0.42445920936706383,5
24,rescue,0.001,0.06581340007716788,5
24,rescue,0.0021544346900318843,0.08796312344044796,5
24,rescue,0.004641588833612777,0.1338507296375226,5
24,rescue,0.01,0.22474626154829921,5
24,rescue,0.021544346900318832,0.3884191968275609,5
24,rescue,0.046415888336127774,0.6298323571700117,5
24,rescue,0.1,0.867862937368763,5
24,rescue,0.21544346900318823,0.9789142536621567,5
24,rescue,0.46415888336127775,0.9959262776199609,5
24,rescue,1.0,0.9976421362899766,5
24,rescue,2.154434690031882,0.9981513555241188,5
24,rescue,4.6415888336127775,0.9986410095664375,5
24,rescue,5.274997063702617,0.9987548361416814,5
24,rescue,5.994842503189409,0.9988800597129546,5
24,rescue,6.812920690579611,0.999015018308129,5
