n,signal_example,mean,variance
85,-0.23223872499511805,-0.04724637888765312,0.11220063934772648
86,-0.28773683244974635,-0.02690358767511146,0.11276258000141513
87,-0.35240672820402175,-0.005739543758745047,0.10513706588953448
88,-0.3830737473198734,0.0120237622689116,0.0919034579367807
89,-0.26097350114056667,0.02655848396801717,0.0845727390282937
90,-0.027680132445660366,0.038014337150599896,0.08685887356391982
91,0.16944022667034034,0.047398640375018355,0.09002530675021923
92,0.30544165028733056,0.051127933274622235,0.0966811090182633
93,0.38765291641824834,0.04779447894764451,0.1102424011365604
94,0.4269621720038342,0.044898725574993775,0.12081917439710986
95,0.4719796920326317,0.045367426820924824,0.12011148257135312
96,0.5291281694422048,0.040685302703235664,0.11212296375511074
97,0.4402238173213255,0.02574066121219213,0.10574407234162253
98,0.21306076373819255,0.005442279184630222,0.10350069726588002
99,-0.03884955955729862,-0.0165386133527343,0.10408121470006274
100,-0.25877408636033583,-0.04222868348282379,0.10684973135774958
101,-0.4387568007714881,-0.0655448082867216,0.11374668304329556
102,-0.594464789715644,-0.07398590507557506,0.12391741770377623
103,-0.7066662130404294,-0.0679503611147443,0.1291428934845993
104,-0.6982386881283836,-0.05389526390952999,0.12139557665960454
105,-0.46886758170778686,-0.032473641103281256,0.11043345975354474
106,-0.1642859151505416,-0.007417299490638483,0.10554745961167483
107,0.024981932879806493,0.01668168229980012,0.0991563885761984
108,0.08888839435456924,0.03627646865615883,0.09300876704194869
109,0.06662846291247461,0.04562022554584285,0.09996469396865722
110,0.020085585545808096,0.045925896991510465,0.11127825261369406
111,0.048229282648361196,0.045247968790657164,0.11112860151533828
112,0.19682227343691697,0.04520539049841767,0.10516000602077989
113,0.2987923318095373,0.03990830821230405,0.10740693960646949
114,0.2855612133101029,0.029704582582319113,0.11582401395028485
115,0.2615207345025888,0.015150284355326811,0.11711326501148761
116,0.2835831505575211,-0.008943064395895702,0.11021398950360851
117,0.3147517549281026,-0.03371309591293743,0.10523026481155144
118,0.24323000757180566,-0.04752098997389213,0.10608567408002748
119,0.052022157301566826,-0.052071405430334554,0.11083006445442775
120,-0.11959213770770441,-0.05688958264502102,0.11448542986188742
121,-0.22465522656007783,-0.06206283003540142,0.11494485338827143
122,-0.3019778419349255,-0.05430834514463683,0.11567421039727012
123,-0.3862020702532994,-0.030412561630926135,0.10934919157445741
124,-0.4383989109031932,2.1234698220096713e-05,0.09553924306258428
125,-0.341136427866342,0.024204950751088555,0.08922837831904701
126,-0.10402568509854214,0.04019628357345242,0.09376949586362528
127,0.1129256653163962,0.05145472585921092,0.09937113729554012
128,0.2623175826382914,0.05764073174723682,0.10233869526283872
129,0.3462218533790198,0.058501226822282516,0.10691020444238866
130,0.37643479818860215,0.05684577863039933,0.11419166437684619
131,0.4060778736537661,0.05262127810794108,0.11616780432559878
132,0.4821141588056335,0.038730813017830004,0.11155371549846167
133,0.4625207418473873,0.014139899888091289,0.10652341254503836
134,0.27545076620073256,-0.0130632349303729,0.10556188040848438
135,0.03575805117790802,-0.03495858997908318,0.10846278897052437
136,-0.17842374813794393,-0.05373305075381619,0.1156621517028886
137,-0.3505842925240328,-0.0732329245843412,0.12176134608640286
138,-0.505418423114224,-0.08088473947413455,0.12182761576936779
139,-0.6374306540927213,-0.07087261357554885,0.12124932102450416
140,-0.6788140379177803,-0.04733600706310606,0.1152908885772832
141,-0.5218717874248131,-0.01846723178186489,0.10758568496473703
142,-0.22275967084554626,0.0057926394376411686,0.10500586978856197
143,0.009839566682505362,0.022187461574387796,0.10208063705898118
144,0.1211982343002068,0.03404343911446854,0.09436152824797245
145,0.1318316934197133,0.04492611312855965,0.09081925089291128
146,0.09238805159464837,0.050827632402165326,0.09546858108189847
147,0.0915204097810049,0.04942577268789984,0.10204041218609587
148,0.2076801760649098,0.04042261440591643,0.10511256616447325
149,0.32035248934058796,0.027056721847532193,0.10604901381659076
150,0.2906395697345091,0.015408678328390874,0.10811006534101812
151,0.21217899254913233,0.006005703814765444,0.10768101148011212
152,0.17630823143628985,-0.00517528432270969,0.10599929987492192
153,0.17876857895939582,-0.021837669997357943,0.10526653017924759
154,0.11885809581893411,-0.036627883035217954,0.10593971488987551
155,-0.05264867783510143,-0.04087154265303741,0.10931442594894403
156,-0.20988343022129816,-0.036829773917312625,0.11344848094260553
157,-0.27220253073661466,-0.03155342878684546,0.11592368412614341
158,-0.26149632967651215,-0.02122248565893088,0.11676676320353213
159,-0.24260578679403189,-0.004073914003375618,0.11492332985238024
160,-0.2080999184818264,0.015044594915524886,0.10792710580022648
161,-0.061739622317231686,0.031836800860146924,0.10140388039132558
162,0.13914381428535452,0.042138760730143304,0.10375708232165819
163,0.2853709552342705,0.04434369028872433,0.11148715190633485
164,0.3894303788009767,0.039592334515090914,0.11652475529741858
165,0.47121845078577834,0.030976698471301953,0.11900487173028373
166,0.5358998245694573,0.019908296558196627,0.12253424030128024
167,0.5824479303626847,0.007967673925690687,0.1219093448366732
168,0.5117725041698032,-0.004667113030010568,0.11740126285606603
169,0.28897376196241603,-0.02178705861746496,0.11190898520682989
170,0.02470574726623733,-0.04200039783458703,0.10918112324798127
171,-0.22248440143741202,-0.05551803207935866,0.11007316892413947
172,-0.4340402102957637,-0.061547980486900196,0.11297498427475486
173,-0.6075269175210087,-0.062383744185930255,0.11399228081432565
174,-0.7351592460803159,-0.055645435818454686,0.11556502933895814
175,-0.7660244358325998,-0.03935851752099027,0.11544857272884278
176,-0.58697657589371,-0.018619479795328752,0.10728704481697367
177,-0.2639950070282949,0.0025587675174851073,0.0925436352874278
178,-0.0423011376272143,0.023106876976148317,0.0855469797682524
179,0.03608437110326046,0.03814253148538432,0.08662433432162052
180,0.01704642000528634,0.04577412637951649,0.08856510486026346
