n,signal_example,mean,variance
443,-0.6873912054230733,-0.0025860600447620806,0.09934472672285571
444,-0.49919368624081933,-0.0008929446678695875,0.09971152081857422
445,-0.1949772953703934,0.004073855158090062,0.1071209252310433
446,0.020521144493243795,0.008896416059385874,0.11624333146285146
447,0.11191357882396578,0.013312727000671381,0.11481398472769495
448,0.1080236225695514,0.019587981653953028,0.11048484622627652
449,0.06466883020862652,0.026015736206111337,0.10651897724453796
450,0.07515255980088781,0.029987999957479267,0.1045567767969431
451,0.20579764128485475,0.027669460422757464,0.10584735014342084
452,0.31223547330417867,0.014682257892965038,0.10862211173462173
453,0.28492643702217946,-0.003358546540677693,0.1103714569804593
454,0.22639626197697052,-0.015436133641202188,0.11058064172976048
455,0.2145191706975604,-0.020139840760552558,0.11152394952509562
456,0.2298721442615119,-0.02398545541895381,0.11462534988507805
457,0.16452508985830483,-0.027305149936269188,0.11451630687262705
458,-0.015553987344503242,-0.026378491513385883,0.11238534049887748
459,-0.17600416094228827,-0.02013021337887696,0.11243826535784311
460,-0.2507359168976735,-0.008976615665084836,0.11100179864409988
461,-0.2724591609605473,0.0056213171270946246,0.11184645732771246
462,-0.29655317915542495,0.015595932390891918,0.11635809488320482
463,-0.29814406365186646,0.01774354729976043,0.1160442319501544
